Ticker,Name-IB,Country-IB,Exchange-IB,Currency-IB,ISIN-19.7,ISIN-IB
1ST,1ST GROUP LTD,Australia,ASX,AUD,,AU0000001ST0
TWOU,2U INC,United States of America,NASDAQ,USD,,
DDDX,3DX INDUSTRIES INC,United States of America,PINK,USD,,
MMM,3M CO,Mexico,US Exchange,,,
88E,88 ENERGY LTD,United Kingdom,LSE,GBP,AU00000088E2,AU00000088E2
AQFD,A CLASSIFIED AD INC,,VALUE,USD,,
7063,A DOT CO LTD,Japan,TSEJ,JPY,JP3160590000,JP3160590000
AMKBY,A P MOLLER-MAERSK-B-UNSP ADR,United States of America,PINK,USD,,
MLATV,A TOUTE VITESSE-ATV,France,SBF,EUR,,FR0010050773
AMRK,A-MARK PRECIOUS METALS INC,United States of America,NASDAQ,USD,,
AKH,A-TEC INDUSTRIES AG,,VALUE,EUR,,
5GZ,AA GROUP HOLDINGS LTD,Singapore,SGX,SGD,,SG1S12926576
AACH,AAC HOLDINGS INC,United States of America,PINK,USD,,
2018,AAC TECHNOLOGIES HOLDINGS IN,Hong Kong,SEHK,HKD,,
2686,AAG ENERGY HOLDINGS LTD,Hong Kong,SEHK,HKD,KYG000371040,
AAON,AAON INC,United States of America,NASDAQ,USD,,
AAALY,AAREAL BANK AG-UNSPON ADR,United States of America,PINK,USD,,
AARON,AARON INDUSTRIES LTD,India,NSE,INR,,INE721Z01010
AAN,AARON'S INC,United States of America,NYSE,USD,,
AARTIDRUG,AARTI DRUGS LIMITED,India,NSE,INR,,INE767A01016
AARTIIND,AARTI INDUSTRIES LIMITED,India,NSE,INR,,INE769A01020
AAVAS,AAVAS FINANCIERS LTD,India,NSE,INR,,INE216P01012
ABDP,AB DYNAMICS PLC,United Kingdom,LSE,GBP,,GB00B9GQVG73
ABQQ,AB INTERNATIONAL GROUP CORP,United States of America,PINK,USD,,
ABTO,AB&T FINANCIAL CORP,United States of America,PINK,USD,,
ABP,ABACUS PROPERTY GROUP,Australia,ASX,AUD,AU000000ABP9,AU000000ABP9
ABKI,ABAKAN INC,,VALUE,USD,,
ABAN,ABAN OFFSHORE LIMITED,India,NSE,INR,,INE421A01028
ATTBF,ABATTIS BIOCEUTICALS CORP,United States of America,PINK,USD,,
ABAX,ABAXIS INC,,VALUE,USD,,
ABB,ABB INDIA LTD,India,NSE,INR,INE117A01022,INE117A01022
ABB,ABB INDIA LTD,India,NSE,INR,INE117A01022,INE117A01022
ABA,ABBA MEDIX GROUP INC,Canada,PURE,CAD,,
ABBY,ABBEY PLC,United Kingdom,LSE,GBP,,
ABBOTINDI,ABBOTT INDIA LTD,India,NSE,INR,,INE358A01014
ABT,ABBOTT LABORATORIES,,US Exchange,,,
ABBV,ABBVIE INC,Mexico,NYSE,USD,US00287Y1091,
ABBY,ABBY INC,United States of America,PINK,USD,,
2670,ABC-MART INC,Japan,TSEJ,JPY,JP3152740001,JP3152740001
ABCE,ABCO ENERGY INC,United States of America,PINK,USD,,
ABMBF,ABCOURT MINES INC -CL B,United States of America,PINK,USD,,
ABNAF,ABEN RESOURCES LTD,United States of America,PINK,USD,,
ABEO,ABEONA THERAPEUTICS INC,United States of America,NASDAQ,USD,,
ANF,ABERCROMBIE & FITCH  -CL A,,US Exchange,,,
AAIF,ABERDEEN ASIAN INCOME FUND L,United Kingdom,LSE,GBP,,GB00B0P6J834
FCO,ABERDEEN GLOBAL INCOME FUND,United States of America,AMEX,USD,,
GCH,ABERDEEN GREATER CHINA FUND,,VALUE,USD,,
IF,ABERDEEN INDONESIA FUND INC,,VALUE,USD,,
AABVF,ABERDEEN INTERNATIONAL INC.,United States of America,PINK,USD,,
