industry-IB,longName-IB,marketName-IB,ISIN,Symbol-IB,Name-IB,Country-IB,Exchange-IB,Currency-IB,Name-Investing.com,Exchange-Investing.com,Type-Investing.com,Market-Investing.com,CUSIP-Investing.com
Communications,1ST GROUP LTD,1ST,AU0000001ST0,1ST,1ST GROUP LTD,Australia,ASX,AUD,,,,,
"Consumer, Non-cyclical",2U INC,NMS,US90214J1016,TWOU,,,,,,,,,
Industrial,3DX INDUSTRIES INC,DDDX,US88556A1007,DDDX,,,,,,,,,
"Consumer, Non-cyclical",MARLEY SPOON AG-CDI,MMM,AU0000013070,MMM,,,,,,,,,
Industrial,3M CO,MMM,US88579Y1010,MMM,3M CO,Mexico,US Exchange,,3M Company,NYSE,Equity,United States,88579Y101
Basic Materials,MINCO CAPITAL CORP,MMM,CA6025321036,MMM,,,,,,,,,
Basic Materials,MINING MINERALS & METALS PLC,SSQ3,GB00BF7L9148,MMM,,,,,,,,,
Energy,88 ENERGY LTD,88E,AU00000088E2,88E,88 ENERGY LTD,United Kingdom,LSE,GBP,,,,,
Financial,A CLASSIFIED AD INC,AQFD,US00089Y1091,AQFD,,,,,,,,,
Communications,BIRDMAN INC,7063,JP3160590000,7063,A DOT CO LTD,Japan,TSEJ,JPY,,,,,
Industrial,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,US00202F1021,AMKBY,,,,,,,,,
Industrial,A TOUTE VITESSE-ATV,MLATV,FR0010050773,MLATV,A TOUTE VITESSE-ATV,France,SBF,EUR,,,,,
"Consumer, Cyclical",A-MARK PRECIOUS METALS INC,NMS,US00181T1079,AMRK,,,,,,,,,
"Consumer, Non-cyclical",AMIR MARKETING AND INVEST,AMRK,IL0010922040,AMRK,AMIR MARKETING AND INVEST,Israel,TASE,ILS,,,,,
,A-TEC INDUSTRIES AG,AKH,AT0000A1ZH55,AKH,,,,,,,,,
Financial,AKER HORIZONS ASA,AKH,NO0010921232,AKH,,,,,,,,,
Industrial,HGH HOLDINGS LTD,5GZ,SG1S12926576,5GZ,AA GROUP HOLDINGS LTD,Singapore,SGX,SGD,,,,,
Industrial,AAC TECHNOLOGIES HOLDINGS IN,2018,KYG2953R1149,2018,,,,,,,,,
"Consumer, Cyclical",GFOOT CO LTD,2686,JP3536900008,2686,,,,,,,,,
Energy,AAG ENERGY HOLDINGS LTD,2686,KYG000371040,2686,AAG ENERGY HOLDINGS LTD,Hong Kong,SEHK,HKD,,,,,
Industrial,AAON INC,NMS,US0003602069,AAON,AAON INC,United States of America,NASDAQ,USD,AAON Inc,NASDAQ,Equity,United States,000360206
Financial,AAREAL BANK AG-UNSPON ADR,CURRENT,US00254K1088,AAALY,,,,,,,,,
Industrial,AARON INDUSTRIES LTD,AARON,INE721Z01010,AARON,AARON INDUSTRIES LTD,India,NSE,INR,,,,,
Basic Materials,ATON RESOURCES INC,AAN,CA0496AP2026,AAN,,,,,,,,,
"Consumer, Non-cyclical",AARON'S CO INC/THE,AAN,US00258W1080,AAN,,,,,,,,,
"Consumer, Non-cyclical",AARTI DRUGS LIMITED,AARTIDRUG,INE767A01016,AARTIDRUG,AARTI DRUGS LIMITED,India,NSE,INR,,,,,
,AARTI DRUGS LIMITED - SPINOFF,AARTIDRUG,INARDR300920,AARTIDRUG,,,,,,,,,
Basic Materials,AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020,AARTIIND,AARTI INDUSTRIES LIMITED,India,NSE,INR,,,,,
Financial,AAVAS FINANCIERS LTD,AAVAS,INE216P01012,AAVAS,AAVAS FINANCIERS LTD,India,NSE,INR,,,,,
"Consumer, Non-cyclical",AB DYNAMICS PLC,ASQ1,GB00B9GQVG73,ABDP,AB DYNAMICS PLC,United Kingdom,LSE,GBP,,,,,
"Consumer, Cyclical",AB INTERNATIONAL GROUP CORP,ABQQ,US00083U2024,ABQQ,,,,,,,,,
Financial,AB&T FINANCIAL CORP,ABTO,US00037W1062,ABTO,,,,,,,,,
Financial,ABACUS PROPERTY GROUP,ABP,AU000000ABP9,ABP,ABACUS PROPERTY GROUP,Australia,ASX,AUD,,,,,
"Consumer, Cyclical",PANERA BREAD COMPANY-CLASS A,XETRA,US69840W1080,ABP,,,,,,,,,
"Consumer, Cyclical",PANERA BREAD COMPANY-CLASS A,PNRA,US69840W1080,PNRA,,,,,,,,,
Financial,ABAKAN INC,ABKI,US00258J1079,ABKI,,,,,,,,,
Energy,ABAN OFFSHORE LIMITED,ABAN,INE421A01028,ABAN,ABAN OFFSHORE LIMITED,India,NSE,INR,,,,,
"Consumer, Non-cyclical",ABATTIS BIOCEUTICALS CORP,NOINFO,CA00258G1037,ATTBF,,,,,,,,,
"Consumer, Non-cyclical",ABATTIS BIOCEUTICALS CORP,ATT,CA00258G1037,ATT,,,,,,,,,
"Consumer, Non-cyclical",ABAXIS INC,ABAX,US0025671050,ABAX,,,,,,,,,
Industrial,ABB LTD-SPON ADR,ABB,US0003752047,ABB,,,,,,,,,
Communications,AUSSIE BROADBAND LTD,ABB,AU0000106643,ABB,,,,,,,,,
Industrial,ABB INDIA LTD,ABB,INE117A01022,ABB,ABB INDIA LTD,India,NSE,INR,,,,,
Industrial,ABB INDIA LTD,ABB,INE117A01022,ABB,ABB INDIA LTD,India,NSE,INR,,,,,
Industrial,ABB LTD-REG,ABB,CH0012221716,ABB,,,,,,,,,
"Consumer, Non-cyclical",AB-BIOTICS SA,ABB,ES0109659013,ABB,,,,,,,,,
Financial,AUSWIDE BANK LTD,ABA,AU000000ABA1,ABA,AUSWIDE BANK LTD,Australia,ASX,AUD,,,,,
Industrial,ALBA SE,XETRA,DE0006209901,ABA,ALBA SE,Germany,FWB,EUR,,,,,
"Consumer, Non-cyclical",ABBA MEDIX GROUP INC,ABA,CA00258L1022,ABA,,,,,,,,,
