ISIN,Name_197,longName-FIGI,fuzz_socre1,check-FIGI
JP3160590000,A DOT CO LTD,BIRDMAN INC,26,0
JP3108120001,ACRODEA INC,THE WHY HOW DO COMPANY INC,32,0
LU1250154413,ADO PROPERTIES SA,ADLER GROUP SA,58,0
US0077371096,AEROCENTURY CORP,MEGA MATRIX CORP,25,0
JP3102000001,AISIN SEIKI CO LTD,AISIN CORP,57,1
US01741R1023,ALLEGHENY TECHNOLOGIES INC,ATI INC,30,1
US0185811082,ALLIANCE DATA SYSTEMS CORP,BREAD FINANCIAL HOLDINGS INC,26,0
IL0011176885,ALON NATURAL GAS EXPLORATION,ALON GAS ENERGY DEVELOPMENT,47,1
CA02210D1033,ALTURA ENERGY INC,TENAZ ENERGY CORP,59,0
US00183L1026,ANGI HOMESERVICES INC- A,ANGI INC,52,1
US0367521038,ANTHEM INC,ELEVANCE HEALTH INC,55,0
US0441861046,ASHLAND GLOBAL HOLDINGS INC,ASHLAND INC,58,1
AU000000ABX3,AUSTRALIAN BAUXITE LTD,ABX GROUP LTD,34,0
JP3394900009,AUTONOMOUS CONTROL SYSTEMS L,ACSL LTD,33,1
JP3160770008,AZIA CO LTD,WOW WORLD INC,33,0
IL0011016669,BABYLON LTD,ABRA INFORMATION TECHNOLOGIE,31,0
IL0007590198,BAYSIDE LAND CORPORATION LTD,GAV-YAM LANDS CORP LTD,56,0
RU000A0HL5M1,BELUGA,BELUGA GROUP PJSC,52,1
CNE0000005N4,BESTTONE HOLDINGS CO LTD-A,NEW GUOMAI DIGITAL CULTURE-A,26,0
US09074B1070,BIOHITECH GLOBAL INC,RENOVARE ENVIRONMENTAL INC,39,0
AU000000BOE4,BOSS RESOURCES LTD,BOSS ENERGY LTD,48,1
US1143401024,BROOKS AUTOMATION INC,AZENTA INC,45,0
US1270971039,CABOT OIL & GAS CORP,COTERRA ENERGY INC,28,0
IL0004560129,CHIRON REFINERIES LTD,UPSELLON BRANDS HOLDINGS LTD,41,0
KYG226921008,COFCO MEAT HOLDINGS LTD,COFCO JOYCOME FOODS LTD,57,1
KYG225371072,COGOBUY GROUP,INGDAN INC,17,0
JP3236100008,CREA HOLDINGS INC,SMALL AND MEDIUM SIZED ENTER,27,0
US2289031005,CRYOLIFE INC,ARTIVION INC,50,0
GB00B1722W11,DART GROUP PLC,JET2 PLC,45,0
IT0005203622,DOMINION HOSTING HOLDING SPA,DHH SPA,40,1
AU000000EFE6,EASTERN IRON LTD,EASTERN RESOURCES LTD,59,1
GB0003085445,ELECTRA PRIVATE EQUITY PLC,UNBOUND GROUP PLC,33,0
CA2945051027,EQUITABLE GROUP INC,EQB INC,54,0
HK0000264595,EVERGRANDE HEALTH INDUSTRY G,CHINA EVERGRANDE NEW ENERGY,44,1
US3156161024,F5 NETWORKS INC,F5 INC,57,1
US30303M1027,FACEBOOK INC,META PLATFORMS INC-CLASS A,32,1
