Name,Ticker,Exchange,Type,Market,ISIN,CUSIP
Advanced Micro Devices Inc,AMD,NASDAQ,Equity,United States,US0079031078,007903107
Apple Inc,AAPL,NASDAQ,Equity,United States,US0378331005,037833100
Amazon.com Inc,AMZN,NASDAQ,Equity,United States,US0231351067,023135106
NVIDIA Corporation,NVDA,NASDAQ,Equity,United States,US67066G1040,67066G104
Ford Motor Company,F,NYSE,Equity,United States,US3453708600,345370860
Endo International PLC,ENDP,NASDAQ,Equity,United States,IE00BJ3V9050,00BJ3V905
Delta Air Lines Inc,DAL,NYSE,Equity,United States,US2473617023,247361702
Bank of America Corp,BAC,NYSE,Equity,United States,US0605051046,060505104
Tesla Inc,TSLA,NASDAQ,Equity,United States,US88160R1014,88160R101
Southwestern Energy Company,SWN,NYSE,Equity,United States,US8454671095,845467109
Barrick Gold Corp,GOLD,NYSE,Equity,United States,CA0679011084,067901108
Mullen Automotive Inc,MULN,NASDAQ,Equity,United States,US62526P1093,62526P109
Veru Inc,VERU,NASDAQ,Equity,United States,US92536C1036,92536C103
Freeport-McMoran Copper & Gold Inc,FCX,NYSE,Equity,United States,US35671D8570,35671D857
Microsoft Corporation,MSFT,NASDAQ,Equity,United States,US5949181045,594918104
Intel Corporation,INTC,NASDAQ,Equity,United States,US4581401001,458140100
Vale SA ADR,VALE,NYSE,Equity,United States,US91912E1055,91912E105
Petroleo Brasileiro Petrobras SA ADR,PBR,NYSE,Equity,United States,US71654V4086,71654V408
Citigroup Inc,C,NYSE,Equity,United States,US1729674242,172967424
AT&T Inc,T,NYSE,Equity,United States,US00206R1023,00206R102
Transocean Ltd,RIG,NYSE,Equity,United States,CH0048265513,H8817H100
Clovis Oncology Inc,CLVS,NASDAQ,Equity,United States,US1894641000,189464100
Occidental Petroleum Corporation,OXY,NYSE,Equity,United States,US6745991058,674599105
Yamana Gold Inc,AUY,NYSE,Equity,United States,CA98462Y1007,98462Y100
Kinross Gold Corp,KGC,NYSE,Equity,United States,CA4969024047,496902404
CSX Corporation,CSX,NASDAQ,Equity,United States,US1264081035,126408103
Exxon Mobil Corp,XOM,NYSE,Equity,United States,US30231G1022,30231G102
Warner Bros Discovery Inc,WBD,NASDAQ,Equity,United States,US9344231041,934423104
Cleveland-Cliffs Inc,CLF,NYSE,Equity,United States,US1858991011,185899101
Gap Inc,GPS,NYSE,Equity,United States,US3647601083,364760108
General Motors Company,GM,NYSE,Equity,United States,US37045V1008,37045V100
FuelCell Energy Inc,FCEL,NASDAQ,Equity,United States,US35952H6018,35952H601
Cisco Systems Inc,CSCO,NASDAQ,Equity,United States,US17275R1023,17275R102
JetBlue Airways Corp,JBLU,NASDAQ,Equity,United States,US4771431016,477143101
Huntington Bancshares Incorporated,HBAN,NASDAQ,Equity,United States,US4461501045,446150104
Micron Technology Inc,MU,NASDAQ,Equity,United States,US5951121038,595112103
United Airlines Holdings Inc,UAL,NASDAQ,Equity,United States,US9100471096,910047109
Wells Fargo & Company,WFC,NYSE,Equity,United States,US9497461015,949746101
Macy’s Inc,M,NYSE,Equity,United States,US55616P1049,55616P104
Comcast Corp,CMCSA,NASDAQ,Equity,United States,US20030N1019,20030N101
Marathon Oil Corporation,MRO,NYSE,Equity,United States,US5658491064,565849106
Verizon Communications Inc,VZ,NYSE,Equity,United States,US92343V1044,92343V104
Riot Blockchain Inc,RIOT,NASDAQ,Equity,United States,US7672921050,767292105
Walt Disney Company,DIS,NYSE,Equity,United States,US2546871060,254687106
United States Steel Corporation,X,NYSE,Equity,United States,US9129091081,912909108
JPMorgan Chase & Co,JPM,NYSE,Equity,United States,US46625H1005,46625H100
Coca-Cola Co,KO,NYSE,Equity,United States,US1912161007,191216100
Qurate Retail Inc Series A,QRTEA,NASDAQ,Equity,United States,US74915M1009,74915M100
Boeing Co,BA,NYSE,Equity,United States,US0970231058,097023105
Sirius XM Holding Inc,SIRI,NASDAQ,Equity,United States,US82968B1035,82968B103
Pfizer Inc,PFE,NYSE,Equity,United States,US7170811035,717081103
Netflix Inc,NFLX,NASDAQ,Equity,United States,US64110L1061,64110L106
Southwest Airlines Company,LUV,NYSE,Equity,United States,US8447411088,844741108
Schlumberger NV,SLB,NYSE,Equity,United States,AN8068571086,806857108
APA Corporation,APA,NASDAQ,Equity,United States,US03743Q1085,03743Q108
Devon Energy Corporation,DVN,NYSE,Equity,United States,US25179M1036,25179M103
Gold Fields Ltd ADR,GFI,NYSE,Equity,United States,US38059T1060,38059T106
Fastenal Company,FAST,NASDAQ,Equity,United States,US3119001044,311900104
Gevo Inc,GEVO,NASDAQ,Equity,United States,US3743964062,374396406
AGNC Investment Corp,AGNC,NASDAQ,Equity,United States,US00123Q1040,00123Q104
BlackBerry Ltd,BB,NYSE,Equity,United States,CA09228F1036,09228F103
Teva Pharma Industries Ltd ADR,TEVA,NYSE,Equity,United States,US8816242098,881624209
Coterra Energy Inc,CTRA,NYSE,Equity,United States,US1270971039,127097103
Halliburton Company,HAL,NYSE,Equity,United States,US4062161017,406216101
Baker Hughes Co,BKR,NASDAQ,Equity,United States,US05722G1004,05722G100
Viatris Inc,VTRS,NASDAQ,Equity,United States,US92556V1061,92556V106
Sharing Economy International Inc,SEII,OTC Markets,Equity,United States,US8195342071,819534207
Invesco Plc,IVZ,NYSE,Equity,United States,BMG491BT1088,G491BT108
Bed Bath & Beyond Inc,BBBY,NASDAQ,Equity,United States,US0758961009,075896100
Infosys Ltd ADR,INFY,NYSE,Equity,United States,US4567881085,456788108
Qualcomm Incorporated,QCOM,NASDAQ,Equity,United States,US7475251036,747525103
Nextera Energy Inc,NEE,NYSE,Equity,United States,US65339F1012,65339F101
Chevron Corp,CVX,NYSE,Equity,United States,US1667641005,166764100
Regions Financial Corporation,RF,NYSE,Equity,United States,US7591EP1005,7591EP100
EQT Corporation,EQT,NYSE,Equity,United States,US26884L1098,26884L109
Bristol-Myers Squibb Company,BMY,NYSE,Equity,United States,US1101221083,110122108
HP Inc,HPQ,NYSE,Equity,United States,US40434L1052,40434L105
The Mosaic Company,MOS,NYSE,Equity,United States,US61945C1036,61945C103
Morgan Stanley,MS,NYSE,Equity,United States,US6174464486,617446448
PG&E Corp,PCG,NYSE,Equity,United States,US69331C1080,69331C108
Marvell Technology Group Ltd,MRVL,NASDAQ,Equity,United States,US5738741041,573874104
Trip.com Group Ltd ADR,TCOM,NASDAQ,Equity,United States,US89677Q1076,89677Q107
Kraft Heinz Co,KHC,NASDAQ,Equity,United States,US5007541064,500754106
Dow Inc,DOW,NYSE,Equity,United States,US2605571031,260557103
Altria Group,MO,NYSE,Equity,United States,US02209S1033,02209S103
Salesforce.com Inc,CRM,NYSE,Equity,United States,US79466L3024,79466L302
Harmony Gold Mining Company Limited,HMY,NYSE,Equity,United States,US4132163001,413216300
Boston Scientific Corp,BSX,NYSE,Equity,United States,US1011371077,101137107
NortonLifeLock Inc,NLOK,NASDAQ,Equity,United States,US6687711084,668771108
Applied Materials Inc,AMAT,NASDAQ,Equity,United States,US0382221051,038222105
ConocoPhillips,COP,NYSE,Equity,United States,US20825C1045,20825C104
Teck Resources Ltd Class B,TECK,NYSE,Equity,United States,CA8787422044,878742204
Newmont Goldcorp Corp,NEM,NYSE,Equity,United States,US6516391066,651639106
