Unnamed: 0,Code,ISIN,CUSIP,Sector,Industry,GicSector,GicGroup,GicIndustry,GicSubIndustry
0,A,US00846U1016,00846U101,Healthcare,Diagnostics & Research,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
0,AA,US0138721065,013872106,Basic Materials,Aluminum,Materials,Materials,Metals & Mining,Aluminum
0,AAC,KYG330321061,,Financial Services,Shell Companies,,,,
0,AADI,US00032Q1040,,Healthcare,Biotechnology,,,,
0,AADI,US00032Q1040,,Healthcare,Biotechnology,,,,
0,AAL,US02376R1023,001765106,Industrials,Airlines,Industrials,Transportation,Airlines,Airlines
0,AAL,US02376R1023,001765106,Industrials,Airlines,Industrials,Transportation,Airlines,Airlines
0,AAMC,VI02153X1080,02153X108,Financial Services,Asset Management,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services
0,AAME,US0482091008,048209100,Financial Services,Insurance-Life,Financials,Insurance,Insurance,Multi-line Insurance
0,AAN,US00258W1080,002535201,Industrials,Rental & Leasing Services,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
0,AAON,US0003602069,000360206,Industrials,Building Products & Equipment,Industrials,Capital Goods,Building Products,Building Products
0,AAP,US00751Y1064,00751Y106,Consumer Cyclical,Specialty Retail,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
0,AAPL,US0378331005,037833100,Technology,Consumer Electronics,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
0,AAPL,US0378331005,037833100,Technology,Consumer Electronics,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
0,AAT,US0240131047,024013104,Real Estate,REIT-Diversified,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
0,AAU,CA0202833053,020283107,Basic Materials,Gold,Materials,Materials,Metals & Mining,Diversified Metals & Mining
0,AAU,CA0202833053,020283107,Basic Materials,Gold,Materials,Materials,Metals & Mining,Diversified Metals & Mining
0,AAWW,US0491642056,049164205,Industrials,Airports & Air Services,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
0,AB,US01881G1067,018548107,Financial Services,Asset Management,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
0,ABB,US0003752047,000375204,Industrials,Electrical Equipment & Parts,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
0,ABBV,US00287Y1091,00287T100,Healthcare,Drug Manufacturers-General,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ABC,US03073E1055,03071P102,Healthcare,Medical Distribution,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
0,ABC,US03073E1055,03071P102,Healthcare,Medical Distribution,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
0,ABCB,US03076K1088,000400101,Financial Services,Banks-Regional,Financials,Banks,Banks,Regional Banks
0,ABEV,US02319V1035,02319V103,Consumer Defensive,Beverages-Brewers,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers
0,ABG,US0434361046,043436104,Consumer Cyclical,Auto & Truck Dealerships,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
0,ABIO,US00211Y5069,00211Y100,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ABM,US0009571003,000957100,Industrials,Specialty Business Services,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
0,ABMD,US0036541003,003654100,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
0,ABMD,US0036541003,003654100,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
0,ABR,US0389231087,038923108,Real Estate,REIT-Mortgage,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
0,ABT,US0028241000,002824100,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
0,ABT,US0028241000,002824100,Healthcare,Medical Devices,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
0,ABTX,US01748H1077,01748H107,Financial Services,Banks-Regional,Financials,Banks,Banks,Regional Banks
0,ABUS,CA03879J1003,03879J100,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ABVC,US00091F1066,,Healthcare,Biotechnology,,,,
0,AC,US0455281065,045528106,Financial Services,Capital Markets,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
0,ACA,US0396531008,039653100,Industrials,Infrastructure Operations,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
0,ACAD,US0042251084,004225108,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ACC,US0248351001,024835100,Real Estate,REIT-Residential,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
0,ACCO,US00081T1088,00081T108,Industrials,Business Equipment & Supplies,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Office Services & Supplies
0,ACER,US00444P1084,00444P108,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
0,ACHC,US00404A1097,00404A109,Healthcare,Medical Care Facilities,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
0,ACI,US0130911037,,Consumer Defensive,Grocery Stores,,,,
0,ACIU,CH0329023102,H00263105,Healthcare,Biotechnology,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
0,ACIW,US0044981019,004498101,Technology,Software-Infrastructure,Information Technology,Software & Services,Software,Application Software
0,ACLS,US0545402085,054540109,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
0,ACM,US00766T1007,00766T100,Industrials,Engineering & Construction,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
0,ACMR,US00108J1097,00108J109,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
0,ACN,IE00B4BNMY34,G1150G111,Technology,Information Technology Services,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
0,ACNB,US0008681092,000868109,Financial Services,Banks-Regional,Financials,Banks,Banks,Regional Banks
0,ACOR,US00484M6012,00484M106,Healthcare,Drug Manufacturers-Specialty & Generic,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
