,full_name,name,symbol,Name_197,fuzz_socre1,fuzz_socre2
6758,2U Inc,2U Inc,TWOU,2U INC,100,100
8013,3M Co,3M,MMM,3M CO,100,57
16214,88 Energy Ltd,88 Energy,88E,88 ENERGY LTD,100,82
28381,A Dot Co Ltd,A Dot,7063,A DOT CO LTD,100,59
21814,AAC Technologies Holdings Inc,AAC Technologies,2018,AAC TECHNOLOGIES HOLDINGS IN,98,73
22290,AAG Energy Holdings Ltd,AAG Energy Holdings Ltd,2686,AAG ENERGY HOLDINGS LTD,100,100
3868,AAON Inc,AAON,AAON,AAON INC,100,67
10370,Aaron’s Inc,Aarons,AAN,AARON'S INC,100,71
16924,Abacus Property Group,Abacus Property,ABP,ABACUS PROPERTY GROUP,100,83
22815,ABB India Ltd,ABB India,ABB,ABB INDIA LTD,100,82
2836,Abbott Laboratories,Abbott Labs,ABT,ABBOTT LABORATORIES,100,73
2835,AbbVie Inc,AbbVie,ABBV,ABBVIE INC,100,75
25431,ABC-Mart Inc,ABC-Mart Inc,2670,ABC-MART INC,100,100
16374,Aberdeen Asian Income Fund,Aberdeen Asian Income,AAIF,ABERDEEN ASIAN INCOME FUND L,96,86
4933,Aberdeen Global Income Fund Inc,Aberdeen Global,FCO,ABERDEEN GLOBAL INCOME FUND,93,71
17445,Abilene Oil and Gas Ltd,Abilene Oil and Gas Ltd,ABL,ABILENE OIL AND GAS LTD,100,100
7389,Ability Inc,Ability,ABIL,ABILITY INC,100,78
3193,Abiomed Inc,ABIOMED,ABMD,ABIOMED INC,100,78
3873,ABIOMED Inc,ABIOMED,ABMD,ABIOMED INC,100,78
1787,Abitibi Royalties Inc,Abitibi Royalties Inc,RZZ,ABITIBI ROYALTIES INC,100,100
9791,ABM Industries Inc,ABM Industries,ABM,ABM INDUSTRIES INC,100,88
13986,Absolent Group AB,Absolent Group AB,ABSO,ABSOLENT GROUP AB,100,100
17471,Acacia Coal Ltd,Acacia Coal Ltd,AJC,ACACIA COAL LTD,100,100
7515,Acacia Communications Inc,Acacia Com,ACIA,ACACIA COMMUNICATIONS INC,100,57
8383,Acacia Pharma Group PLC,Acacia Pharma,ACPH,ACACIA PHARMA GROUP PLC,100,72
17477,Academies Australasia Group,Academies Australasia Group,AKG,ACADEMIES AUSTRALASIA GROUP,100,100
3878,Acadia Healthcare Company Inc,Acadia Healthcare,ACHC,ACADIA HEALTHCARE CO INC,91,83
3875,ACADIA Pharmaceuticals Inc,ACADIA,ACAD,ACADIA PHARMACEUTICALS INC,100,38
5398,Acadia Realty Trust,Acadia,AKR,ACADIA REALTY TRUST,100,48
1496,Acadian Timber Corp,Acadian Timber Corp,ADN,ACADIAN TIMBER CORP,100,100
1471,Acasti Pharma Inc,Acasti Pharma,ACST,ACASTI PHARMA INC,100,87
3419,Accenture plc,Accenture,ACN,ACCENTURE PLC,100,82
28253,Access Co Ltd,Access,4813,ACCESS CO LTD,100,63
26885,Access Group Holdings Co Ltd,Access Group,7042,ACCESS GROUP HOLDINGS CO LTD,100,60
2837,Accor SA,Accor,ACCN,ACCOR SA,100,77
1497,Accord Financial Corp.,Accord Financial Corp.,ACD,ACCORD FINANCIAL CORP,100,100
28291,Accrete Inc,Accrete,4395,ACCRETE INC,100,78
3884,AcelRx Pharmaceuticals Inc,AcelRx,ACRX,ACELRX PHARMACEUTICALS INC,100,38
4730,Acer Therapeutics Inc,Acer Therapeutics,ACER,ACER THERAPEUTICS INC,100,89
26164,Achilles Corp,Achilles Corp,5142,ACHILLES CORP,100,100
3880,ACI Worldwide Inc,ACI Worldwide,ACIW,ACI WORLDWIDE INC,100,87
8236,Ackermans & Van Haaren NV,Ackermans,ACKB,ACKERMANS & VAN HAAREN,93,62
6632,Aclaris Therapeutics Inc,Aclaris Therapeutics Inc,ACRS,ACLARIS THERAPEUTICS INC,100,100
4934,Acme United Corp,Acme United,ACU,ACME UNITED CORP,100,81
26616,Acmos Inc,Acmos,6888,ACMOS INC,100,71
25616,Acom Co Ltd,Acom Co Ltd,8572,ACOM CO LTD,100,100
