country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,industry-IB,longName-IB,marketName-IB,Symbol-IB,Country-IB,Exchange-IB,Currency-IB
united states,2U Inc,2U Inc,USD,TWOU,equity,US90214J1016,2U INC,"Consumer, Non-cyclical",2U INC,NMS,TWOU,,,
united kingdom,88 Energy,88 Energy Ltd,GBP,88E,equity,AU00000088E2,88 ENERGY LTD,Energy,88 ENERGY LTD,88E,88E,United Kingdom,LSE,GBP
japan,A Dot,A Dot Co Ltd,JPY,7063,equity,JP3160590000,A DOT CO LTD,,,,,,,
hong kong,AAC Technologies,AAC Technologies Holdings Inc,HKD,2018,equity,KYG2953R1149,AAC TECHNOLOGIES HOLDINGS IN,Industrial,AAC TECHNOLOGIES HOLDINGS IN,2018,2018,,,
hong kong,AAG Energy Holdings Ltd,AAG Energy Holdings Ltd,HKD,2686,equity,KYG000371040,AAG ENERGY HOLDINGS LTD,Energy,AAG ENERGY HOLDINGS LTD,2686,2686,Hong Kong,SEHK,HKD
united states,AAON,AAON Inc,USD,AAON,equity,US0003602069,AAON INC,Industrial,AAON INC,NMS,AAON,,,
australia,Abacus Property,Abacus Property Group,AUD,ABP,equity,AU000000ABP9,ABACUS PROPERTY GROUP,Financial,ABACUS PROPERTY GROUP,ABP,ABP,Australia,ASX,AUD
india,ABB India,ABB India Ltd,INR,ABB,equity,INE117A01022,ABB INDIA LTD,Industrial,ABB INDIA LTD,ABB,ABB,India,NSE,INR
india,ABB India,ABB India Ltd,INR,ABB,equity,INE117A01022,ABB INDIA LTD,Industrial,ABB INDIA LTD,ABB,ABB,India,NSE,INR
india,ABB India,ABB India Ltd,INR,ABB,equity,INE117A01022,ABB INDIA LTD,Industrial,ABB INDIA LTD,ABB,ABB,India,NSE,INR
india,ABB India,ABB India Ltd,INR,ABB,equity,INE117A01022,ABB INDIA LTD,Industrial,ABB INDIA LTD,ABB,ABB,India,NSE,INR
mexico,Abbott Labs,Abbott Laboratories,MXN,ABT,equity,US0028241000,ABBOTT LABORATORIES,"Consumer, Non-cyclical",ABBOTT LABORATORIES .,ABT,ABT,,,
mexico,AbbVie,AbbVie Inc,MXN,ABBV,equity,US00287Y1091,ABBVIE INC,"Consumer, Non-cyclical",ABBVIE INC,ABBV,ABBV,Mexico,NYSE,USD
japan,ABC-Mart Inc,ABC-Mart Inc,JPY,2670,equity,JP3152740001,ABC-MART INC,"Consumer, Cyclical",ABC-MART INC,2670,2670,Japan,TSEJ,JPY
united kingdom,Aberdeen Asian Income,Aberdeen Asian Income Fund,GBP,AAIF,equity,GB00B0P6J834,ABERDEEN ASIAN INCOME FUND L,,ABRDN ASIAN INCOME FUND L,SSMM,AAIF,United Kingdom,LSE,GBP
united states,Aberdeen Global,Aberdeen Global Income Fund Inc,USD,FCO,equity,US0030131090,ABERDEEN GLOBAL INCOME FUND,,,,,,,
australia,Abilene Oil and Gas Ltd,Abilene Oil and Gas Ltd,AUD,ABL,equity,AU000000ABL8,ABILENE OIL AND GAS LTD,,ABILENE OIL AND GAS LTD,,ABL,Australia,ASX,AUD
