country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,ISIN,Name_197,fuzz_socre1,fuzz_socre2
united states,2U Inc,2U Inc,USD,TWOU,equity,US90214J1016,2U INC,100,100
united kingdom,88 Energy,88 Energy Ltd,GBP,88E,equity,AU00000088E2,88 ENERGY LTD,100,82
japan,A Dot,A Dot Co Ltd,JPY,7063,equity,JP3160590000,A DOT CO LTD,100,59
hong kong,AAC Technologies,AAC Technologies Holdings Inc,HKD,2018,equity,KYG2953R1149,AAC TECHNOLOGIES HOLDINGS IN,98,73
hong kong,AAG Energy Holdings Ltd,AAG Energy Holdings Ltd,HKD,2686,equity,KYG000371040,AAG ENERGY HOLDINGS LTD,100,100
united states,AAON,AAON Inc,USD,AAON,equity,US0003602069,AAON INC,100,67
australia,Abacus Property,Abacus Property Group,AUD,ABP,equity,AU000000ABP9,ABACUS PROPERTY GROUP,100,83
india,ABB India,ABB India Ltd,INR,ABB,equity,INE117A01022,ABB INDIA LTD,100,82
india,ABB India,ABB India Ltd,INR,ABB,equity,INE117A01022,ABB INDIA LTD,100,82
mexico,Abbott Labs,Abbott Laboratories,MXN,ABT,equity,US0028241000,ABBOTT LABORATORIES,100,73
mexico,AbbVie,AbbVie Inc,MXN,ABBV,equity,US00287Y1091,ABBVIE INC,100,75
japan,ABC-Mart Inc,ABC-Mart Inc,JPY,2670,equity,JP3152740001,ABC-MART INC,100,100
united kingdom,Aberdeen Asian Income,Aberdeen Asian Income Fund,GBP,AAIF,equity,GB00B0P6J834,ABERDEEN ASIAN INCOME FUND L,96,86
united states,Aberdeen Global,Aberdeen Global Income Fund Inc,USD,FCO,equity,US0030131090,ABERDEEN GLOBAL INCOME FUND,93,71
australia,Abilene Oil and Gas Ltd,Abilene Oil and Gas Ltd,AUD,ABL,equity,AU000000ABL8,ABILENE OIL AND GAS LTD,100,100
united states,Ability,Ability Inc,USD,ABIL,equity,KYG8789K1242,ABILITY INC,100,78
mexico,ABIOMED,Abiomed Inc,MXN,ABMD,equity,US0036541003,ABIOMED INC,100,78
canada,Abitibi Royalties Inc,Abitibi Royalties Inc,CAD,RZZ,equity,CA0036841074,ABITIBI ROYALTIES INC,100,100
sweden,Absolent Group AB,Absolent Group AB,SEK,ABSO,equity,SE0006256558,ABSOLENT GROUP AB,100,100
australia,Acacia Coal Ltd,Acacia Coal Ltd,AUD,AJC,equity,AU000000AJC0,ACACIA COAL LTD,100,100
united states,Acacia Com,Acacia Communications Inc,USD,ACIA,equity,US00401C1080,ACACIA COMMUNICATIONS INC,100,57
belgium,Acacia Pharma,Acacia Pharma Group PLC,EUR,ACPH,equity,GB00BYWF9Y76,ACACIA PHARMA GROUP PLC,100,72
australia,Academies Australasia Group,Academies Australasia Group,AUD,AKG,equity,AU000000AKG9,ACADEMIES AUSTRALASIA GROUP,100,100
united states,Acadia Healthcare,Acadia Healthcare Company Inc,USD,ACHC,equity,US00404A1097,ACADIA HEALTHCARE CO INC,91,83
united states,ACADIA,ACADIA Pharmaceuticals Inc,USD,ACAD,equity,US0042251084,ACADIA PHARMACEUTICALS INC,100,38
united states,Acadia,Acadia Realty Trust,USD,AKR,equity,US0042391096,ACADIA REALTY TRUST,100,48
canada,Acadian Timber Corp,Acadian Timber Corp,CAD,ADN,equity,CA0042721005,ACADIAN TIMBER CORP,100,100
canada,Acasti Pharma,Acasti Pharma Inc,CAD,ACST,equity,CA00430K4028,ACASTI PHARMA INC,100,87
japan,Access,Access Co Ltd,JPY,4813,equity,JP3108060009,ACCESS CO LTD,100,63
japan,Access Group,Access Group Holdings Co Ltd,JPY,7042,equity,JP3108190004,ACCESS GROUP HOLDINGS CO LTD,100,60
mexico,Accor,Accor SA,MXN,ACCN,equity,FR0000120404,ACCOR SA,100,77
canada,Accord Financial Corp.,Accord Financial Corp.,CAD,ACD,equity,CA00435L1085,ACCORD FINANCIAL CORP,100,100
japan,Accrete,Accrete Inc,JPY,4395,equity,JP3108180005,ACCRETE INC,100,78
united states,AcelRx,AcelRx Pharmaceuticals Inc,USD,ACRX,equity,US00444T1007,ACELRX PHARMACEUTICALS INC,100,38
united states,Acer Therapeutics,Acer Therapeutics Inc,USD,ACER,equity,US00444P1084,ACER THERAPEUTICS INC,100,89
japan,Achilles Corp,Achilles Corp,JPY,5142,equity,JP3108000005,ACHILLES CORP,100,100
united states,ACI Worldwide,ACI Worldwide Inc,USD,ACIW,equity,US0044981019,ACI WORLDWIDE INC,100,87
belgium,Ackermans,Ackermans & Van Haaren NV,EUR,ACKB,equity,BE0003764785,ACKERMANS & VAN HAAREN,93,62
united states,Aclaris Therapeutics Inc,Aclaris Therapeutics Inc,USD,ACRS,equity,US00461U1051,ACLARIS THERAPEUTICS INC,100,100
united states,Acme United,Acme United Corp,USD,ACU,equity,US0048161048,ACME UNITED CORP,100,81
japan,Acmos,Acmos Inc,JPY,6888,equity,JP3108100003,ACMOS INC,100,71
japan,Acom Co Ltd,Acom Co Ltd,JPY,8572,equity,JP3108600002,ACOM CO LTD,100,100
united states,Acorda,Acorda Therapeutics Inc,USD,ACOR,equity,US00484M1062,ACORDA THERAPEUTICS INC,100,41
,Acorda Therapeutics Inc,,,ACOR,,US00484M6012,ACORDA THERAPEUTICS INC,15,100
australia,Acorn Capital Invest Fund,Acorn Capital Invest Fund,AUD,ACQ,equity,AU000000ACQ5,ACORN CAPITAL INVESTMENT FUN,91,91
united states,Acorn,Acorn Energy Inc,USD,ACFN,equity,US0048481073,ACORN ENERGY INC,100,48
united states,Acorn,Acorn International Inc,USD,ATV,equity,US0048542049,ACORN INTERNATIONAL INC-ADR,92,31
japan,Acrodea,Acrodea Inc,JPY,3823,equity,JP3108120001,ACRODEA INC,100,78
sweden,Actic Group,Actic Group AB,SEK,ATIC,equity,SE0009269467,ACTIC GROUP AB,100,88
united states,Actinium Pharmaceuticals,Actinium Pharmaceuticals Inc,USD,ATNM,equity,US00507W1071,ACTINIUM PHARMACEUTICALS INC,100,92
australia,Actinogen Medical,Actinogen Medical Ltd,AUD,ACW,equity,AU000000ACW3,ACTINOGEN MEDICAL LTD,100,89
japan,Activia Properties,Activia Properties Inc,JPY,3279,equity,JP3047490002,ACTIVIA PROPERTIES INC,100,90
mexico,Activision Blizzard,Activision Blizzard Inc,MXN,ATVI,equity,US00507V1098,ACTIVISION BLIZZARD INC,100,90
united states,Acuity Brands,Acuity Brands Inc,USD,AYI,equity,US00508Y1029,ACUITY BRANDS INC,100,87
united states,Acura Pharma,Acura Pharmaceuticals Inc,USD,ACUR,equity,US00509L8028,ACURA PHARMACEUTICALS INC,100,65
australia,Adairs Ltd,Adairs Ltd,AUD,ADH,equity,AU000000ADH2,ADAIRS LTD,100,100
united states,Adamas Pharmaceuticals Inc,Adamas Pharma,USD,ADMS,equity,US00548A1060,ADAMAS PHARMACEUTICALS INC,67,100
united states,Adaptimmune Therapeutics,Adaptimmune Therapeutics Plc,USD,ADAP,equity,US00653A1079,ADAPTIMMUNE THERAPEUTICS-ADR,89,92
austria,Addiko Bank,Addiko Bank AG,EUR,ADKO,equity,AT000ADDIKO0,ADDIKO BANK AG,100,88
japan,Adeka Corp,Adeka Corp,JPY,4401,equity,JP3114800000,ADEKA CORP,100,100
