,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI,type_match
7,A P Moller-Maersk-B-Unsp Adr,Adr,Ap Moeller-Maersk As,Common Stock,Adr,Depositary Receipt,-1
16,Aareal Bank Ag-Unspon Adr,Adr,Aareal Bank Ag Adr,Common Stock,Adr,Depositary Receipt,-1
25,Abacus Property Group,Reit,Abacus Property Group,Common Stock,Reit,Reit,-1
44,Aberdeen Asian Income Fund L,Closed-End Fund,Abrdn Asian Income Fund Limited,Common Stock,Closed-End Fund,Mutual Fund,-1
45,Aberdeen Global Income Fund,Closed-End Fund,Aberdeen Global If Inc,Common Stock,Closed-End Fund,Mutual Fund,-1
55,Aberforth Smaller Cos-Ord,Closed-End Fund,Aberforth Smaller Companies Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
56,Aberforth Split Level Income,Closed-End Fund,Aberforth Split Level Income Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
57,Aberforth Split Level Income,Closed-End Fund,Aberforth Split Level Income Trust Plc,Common Stock,Closed-End Fund,Mutual Fund,-1
65,Abn Amro Bank Nv-Cva,Dutch Cert,Abn Amro Group Nv,Common Stock,Dutch Cert,Depositary Receipt,-1
67,Aboitiz Equity Ventures-Adr,Adr,Aboitiz Equity Ventures Inc Adr,Common Stock,Adr,Depositary Receipt,-1
87,Acadia Realty Trust,Reit,Acadia Realty Trust,Common Stock,Reit,Reit,-1
140,Acorn Capital Investment Fun,Closed-End Fund,Acorn Capital Invest Fund,Common Stock,Closed-End Fund,Mutual Fund,-1
156,Activia Properties Inc,Reit,Activia Properties Inc,Common Stock,Reit,Reit,-1
182,Adaptimmune Therapeutics-Adr,Adr,Adaptimmune Therapeutics Plc,Common Stock,Adr,Depositary Receipt,-1
213,Adidas Ag-Sponsored Adr,Adr,Adidas Ag Adr,Common Stock,Adr,Depositary Receipt,-1
225,Adriatic Metals Plc-Cdi,Cdi,Adriatic Metals Plc,Common Stock,Cdi,Depositary Receipt,-1
255,Advisorshares Dorsey Wright,Etf,Advisorshares Dorsey Wright Adr Etf,Etf,Etp,Mutual Fund,-1
