,Name_197,stockType_197,Name-EOD,Type-EOD,securityType-FIGI,securityType2-FIGI
0,1ST GROUP LTD,COMMON,1stAvailable Ltd,Common Stock,Common Stock,Common Stock
1,2U INC,COMMON,2U Inc,Common Stock,Common Stock,Common Stock
2,3DX INDUSTRIES INC,COMMON,3Dx Industries Inc,Common Stock,Common Stock,Common Stock
3,3M CO,,3M Company,Common Stock,Common Stock,Common Stock
4,88 ENERGY LTD,COMMON,88 Energy Ltd,Common Stock,Common Stock,Common Stock
5,A CLASSIFIED AD INC,COMMON,,,Common Stock,Common Stock
6,A DOT CO LTD,COMMON,A Dot Co Ltd,Common Stock,Common Stock,Common Stock
7,A P MOLLER-MAERSK-B-UNSP ADR,ADR,AP Moeller-Maersk AS,Common Stock,ADR,Depositary Receipt
8,A TOUTE VITESSE-ATV,COMMON,,,Common Stock,Common Stock
9,A-MARK PRECIOUS METALS INC,COMMON,Amark Preci,Common Stock,Common Stock,Common Stock
10,A-TEC INDUSTRIES AG,,,,,
11,AA GROUP HOLDINGS LTD,COMMON,,,,
12,AAC HOLDINGS INC,COMMON,,,,
13,AAC TECHNOLOGIES HOLDINGS IN,COMMON,AAC Technologies Holdings Inc,Common Stock,Common Stock,Common Stock
14,AAG ENERGY HOLDINGS LTD,COMMON,AAG Energy Holdings Ltd,Common Stock,Common Stock,Common Stock
15,AAON INC,COMMON,AAON Inc,Common Stock,Common Stock,Common Stock
16,AAREAL BANK AG-UNSPON ADR,ADR,Aareal Bank AG ADR,Common Stock,ADR,Depositary Receipt
17,AARON INDUSTRIES LTD,COMMON,Aaron Industries Limited,Common Stock,Common Stock,Common Stock
18,AARON'S INC,COMMON,,,,
19,AARTI DRUGS LIMITED,COMMON,Aarti Drugs Limited,Common Stock,Common Stock,Common Stock
20,AARTI INDUSTRIES LIMITED,COMMON,Aarti Industries Limited,Common Stock,Common Stock,Common Stock
21,AAVAS FINANCIERS LTD,COMMON,Aavas Financiers Limited,Common Stock,Common Stock,Common Stock
22,AB DYNAMICS PLC,COMMON,Ab Dynamics,Common Stock,Common Stock,Common Stock
23,AB INTERNATIONAL GROUP CORP,COMMON,AB International Group Corp,Common Stock,Common Stock,Common Stock
24,AB&T FINANCIAL CORP,COMMON,,,Common Stock,Common Stock
25,ABACUS PROPERTY GROUP,REIT,Abacus Property Group,Common Stock,REIT,REIT
26,ABAKAN INC,COMMON,,,,
27,ABAN OFFSHORE LIMITED,COMMON,Aban Offshore Limited,Common Stock,Common Stock,Common Stock
28,ABATTIS BIOCEUTICALS CORP,COMMON,Abattis Bioceuticals Corp,Common Stock,Common Stock,Common Stock
29,ABAXIS INC,COMMON,,,,
30,ABB INDIA LTD,COMMON,ABB India Limited,Common Stock,Common Stock,Common Stock
31,ABB INDIA LTD,COMMON,ABB India Limited,Common Stock,Common Stock,Common Stock
32,ABBA MEDIX GROUP INC,COMMON,,,,
33,ABBEY PLC,COMMON,,,,
34,ABBOTT INDIA LTD,COMMON,Abbott India Limited,Common Stock,Common Stock,Common Stock
35,ABBOTT LABORATORIES,,Abbott Laboratories,Common Stock,Common Stock,Common Stock
36,ABBVIE INC,COMMON,AbbVie Inc,Common Stock,Common Stock,Common Stock
37,ABBY INC,COMMON,Abby Inc,Common Stock,Common Stock,Common Stock
38,ABC-MART INC,COMMON,ABC-Mart Inc,Common Stock,Common Stock,Common Stock
39,ABCO ENERGY INC,COMMON,ABCO Energy Inc,Common Stock,Common Stock,Common Stock
40,ABCOURT MINES INC -CL B,COMMON,Abcourt Mines Inc.,Common Stock,Common Stock,Common Stock
41,ABEN RESOURCES LTD,COMMON,Aben Resources Ltd,Common Stock,Common Stock,Common Stock
42,ABEONA THERAPEUTICS INC,COMMON,,,Common Stock,Common Stock
43,ABERCROMBIE & FITCH  -CL A,,Abercrombie & Fitch Company,Common Stock,Common Stock,Common Stock
44,ABERDEEN ASIAN INCOME FUND L,CLOSED-END FUND,abrdn Asian Income Fund Limited,Common Stock,Closed-End Fund,Mutual Fund
45,ABERDEEN GLOBAL INCOME FUND,CLOSED-END FUND,Aberdeen Global IF Inc,Common Stock,Closed-End Fund,Mutual Fund
46,ABERDEEN GREATER CHINA FUND,CLOSED-END FUND,,,,
47,ABERDEEN INDONESIA FUND INC,CLOSED-END FUND,,,,
48,ABERDEEN INTERNATIONAL INC.,COMMON,Aberdeen International Inc.,Common Stock,Common Stock,Common Stock
49,ABERDEEN ISRAEL FUND INC,CLOSED-END FUND,,,,
50,ABERDEEN JAPAN EQUITY FUND I,CLOSED-END FUND,Aberdeen Japan Equity Fund Inc,FUND,Closed-End Fund,Mutual Fund
51,ABERDEEN JAPAN INVESTMENT TR,CLOSED-END FUND,,,,
52,ABERDEEN NEW THAI INV TR-ORD,CLOSED-END FUND,,,Closed-End Fund,Mutual Fund
53,ABERDEEN PRIVATE EQUITY FUND,CLOSED-END FUND,,,,
54,ABERDEEN STANDARD ASIA FOCUS,CLOSED-END FUND,,,,
55,ABERFORTH SMALLER COS-ORD,CLOSED-END FUND,Aberforth Smaller Companies Trust PLC,Common Stock,Closed-End Fund,Mutual Fund
56,ABERFORTH SPLIT LEVEL INCOME,CLOSED-END FUND,Aberforth Split Level Income Trust PLC,Common Stock,Closed-End Fund,Mutual Fund
57,ABERFORTH SPLIT LEVEL INCOME,CLOSED-END FUND,Aberforth Split Level Income Trust PLC,Common Stock,Closed-End Fund,Mutual Fund
58,ABILENE OIL AND GAS LTD,COMMON,,,,
59,ABILITY INC,COMMON,Ability Inc,Common Stock,Common Stock,Common Stock
60,ABIOMED INC,,ABIOMED Inc,Common Stock,Common Stock,Common Stock
61,ABITIBI ROYALTIES INC,COMMON,,,Common Stock,Common Stock
62,ABLE ENERGY INC,COMMON,Able Energy Inc,Common Stock,Common Stock,Common Stock
63,ABLE ENGINEERING HOLDINGS LT,COMMON,Able Engineering Holdings Ltd,Common Stock,Common Stock,Common Stock
64,ABM INDUSTRIES INC,COMMON,ABM Industries Incorporated,Common Stock,Common Stock,Common Stock
65,ABN AMRO BANK NV-CVA,DUTCH CERT,ABN Amro Group NV,Common Stock,Dutch Cert,Depositary Receipt
66,ABO GROUP ENVIRONMENT,COMMON,ABO Group,Common Stock,Common Stock,Common Stock
67,ABOITIZ EQUITY VENTURES-ADR,ADR,Aboitiz Equity Ventures Inc ADR,Common Stock,ADR,Depositary Receipt
68,ABR HOLDINGS LTD,COMMON,ABR Holdings Limited,Common Stock,Common Stock,Common Stock
69,ABRAPLATA RESOURCE CORP,COMMON,,,,
70,ABRAXAS PETROLEUM CORP,COMMON,Abraxas Petroleum Corporation,Common Stock,Common Stock,Common Stock
71,ABSA GROUP LTD,COMMON,Absa Group Ltd,Common Stock,Common Stock,Common Stock
72,ABSOLENT GROUP AB,COMMON,Absolent Group AB,Common Stock,Common Stock,Common Stock
73,ABSOLUTE RETURN TRUST LTD,FUND OF FUNDS,,,,
74,ABTERRA LTD,COMMON,,,Common Stock,Common Stock
75,ABUNDANCE INTERNATIONAL LTD,COMMON,Abundance International Limited,Common Stock,Common Stock,Common Stock
76,AC ENERGY INC,COMMON,,,,
77,AC IMMUNE SA,COMMON,AC Immune Ltd,Common Stock,Common Stock,Common Stock
78,ACACIA COAL LTD,COMMON,,,Common Stock,Common Stock
79,ACACIA COMMUNICATIONS INC,COMMON,,,Common Stock,Common Stock
80,ACACIA DIVERSIFIED HOLDINGS,COMMON,Acacia Diversified Holdings Inc,Common Stock,Common Stock,Common Stock
81,ACACIA MINING PLC,COMMON,,,Common Stock,Common Stock
82,ACACIA PHARMA GROUP PLC,COMMON,,,Common Stock,Common Stock
83,ACACIA RESEARCH CORP,COMMON,Acacia Research Corporation,Common Stock,Common Stock,Common Stock
84,ACADEMIES AUSTRALASIA GROUP,COMMON,Academies Australasia Group,Common Stock,Common Stock,Common Stock
85,ACADIA HEALTHCARE CO INC,COMMON,Acadia Healthcare Company Inc,Common Stock,Common Stock,Common Stock
86,ACADIA PHARMACEUTICALS INC,COMMON,ACADIA Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
87,ACADIA REALTY TRUST,REIT,Acadia Realty Trust,Common Stock,REIT,REIT
88,ACADIAN TIMBER CORP,COMMON,Acadian Timber Corp,Common Stock,Common Stock,Common Stock
89,ACAMAR PARTNERS ACQUISITION,UNIT,,,,
90,ACASTA ENTERPRISES INC-B,COMMON,,,,
91,ACASTI PHARMA INC,COMMON,,,Common Stock,Common Stock
92,ACCELERA INNOVATIONS INC,COMMON,,,Common Stock,Common Stock
93,ACCELERON PHARMA INC,COMMON,,,Common Stock,Common Stock
94,ACCELEWARE LTD,COMMON,Acceleware Ltd,Common Stock,Common Stock,Common Stock
95,ACCELL GROUP,COMMON,Accell Group NV,Common Stock,Common Stock,Common Stock
96,ACCELPATH INC,COMMON,,,,
97,ACCELYA SOLUTIONS INDIA LTD,COMMON,Accelya Solutions India Limited,Common Stock,Common Stock,Common Stock
98,ACCENT GROUP LTD,COMMON,Accent Group Ltd,Common Stock,Common Stock,Common Stock
99,ACCENTIA BIOPHARMACEUTICALS,COMMON,,,,
100,ACCENTURE PLC,,,,,
101,ACCESS CO LTD,COMMON,Access Co Ltd,Common Stock,Common Stock,Common Stock
102,ACCESS GROUP HOLDINGS CO LTD,COMMON,Access Group Holdings Co Ltd,Common Stock,Common Stock,Common Stock
103,ACCESS-POWER & CO INC,COMMON,Access-Power & Co. Inc,Common Stock,Common Stock,Common Stock
104,ACCESSO TECHNOLOGY GROUP PLC,COMMON,Accesso Technology Group PLC,Common Stock,Common Stock,Common Stock
105,ACCIDENT EXCHANGE GROUP PLC,COMMON,,,,
106,ACCIONA SA,COMMON,Acciona,Common Stock,Common Stock,Common Stock
107,ACCO BRANDS CORP,COMMON,Acco Brands Corporation,Common Stock,Common Stock,Common Stock
108,ACCOR SA,COMMON,Accor S. A.,Common Stock,Common Stock,Common Stock
109,ACCORD FINANCIAL CORP,COMMON,Accord Financial Corp.,Common Stock,Common Stock,Common Stock
110,ACCORDIA GOLF TRUST,UNIT,,,,
111,ACCRETE INC,COMMON,Accrete Inc,Common Stock,Common Stock,Common Stock
112,ACCROL GROUP HOLDINGS PLC,COMMON,Accrol Group Holdings PLC,Common Stock,Common Stock,Common Stock
113,ACCSYS TECHNOLOGIES PLC,COMMON,Accsys Technologies PLC,Common Stock,Common Stock,Common Stock
114,ACCURACY SHIPPING LTD,COMMON,Accuracy Shipping Limited,Common Stock,Common Stock,Common Stock
115,ACCURAY INC,COMMON,Accuray Incorporated,Common Stock,Common Stock,Common Stock
116,ACCURIDE CORP,COMMON,,,,
117,ACE INTEGRATED SOLUTIONS LTD,COMMON,,,Common Stock,Common Stock
118,ACELRX PHARMACEUTICALS INC,COMMON,AcelRx Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
119,ACENCIA DEBT STRATEGIES LTD,CLOSED-END FUND,,,Closed-End Fund,Mutual Fund
120,ACER INC-SPONSORED GDR REG S,GDR,,,GDR,Depositary Receipt
121,ACER THERAPEUTICS INC,COMMON,Acer Therapeutics Inc,Common Stock,Common Stock,Common Stock
122,ACERUS PHARMACEUTICALS CORP,COMMON,Acerus Pharmaceuticals Corporation,Common Stock,Common Stock,Common Stock
123,ACESIAN PARTNERS LTD,COMMON,,,Common Stock,Common Stock
124,ACHAOGEN INC,COMMON,,,,
125,ACHEM TECHNOLOGY CORP,COMMON,,,,
126,ACHILLES CORP,COMMON,Achilles Corp,Common Stock,Common Stock,Common Stock
127,ACHILLION PHARMACEUTICALS,COMMON,,,Common Stock,Common Stock
128,ACI GLOBAL CORP,COMMON,,,Common Stock,Common Stock
129,ACI WORLDWIDE INC,COMMON,ACI Worldwide Inc,Common Stock,Common Stock,Common Stock
130,ACKERMANS & VAN HAAREN,COMMON,Ackermans & Van Haaren NV,Common Stock,Common Stock,Common Stock
131,ACKROO INC,COMMON,,,,
132,ACLARIS THERAPEUTICS INC,COMMON,Aclaris Therapeutics Inc,Common Stock,Common Stock,Common Stock
133,ACM RESEARCH INC-CLASS A,COMMON,Acm Research Inc,Common Stock,Common Stock,Common Stock
134,ACME UNITED CORP,COMMON,Acme United Corporation,Common Stock,Common Stock,Common Stock
135,ACMOS INC,COMMON,Acmos Inc,Common Stock,Common Stock,Common Stock
136,ACNB CORP,COMMON,ACNB Corporation,Common Stock,Common Stock,Common Stock
137,ACOM CO LTD,COMMON,Acom Co Ltd,Common Stock,Common Stock,Common Stock
138,ACONEX LTD,COMMON,,,Common Stock,Common Stock
139,ACORDA THERAPEUTICS INC,COMMON,Acorda Therapeutics Inc,Common Stock,Common Stock,Common Stock
140,ACORN CAPITAL INVESTMENT FUN,CLOSED-END FUND,Acorn Capital Invest Fund,Common Stock,Closed-End Fund,Mutual Fund
141,ACORN ENERGY INC,COMMON,Acorn Energy Inc,Common Stock,Common Stock,Common Stock
142,ACORN INCOME FUND LTD-ORD,CLOSED-END FUND,,,,
143,ACORN INTERNATIONAL INC-ADR,ADR,,,,
144,ACOTEL GROUP SPA,COMMON,,,,
145,ACRE REALTY INVESTORS INC,COMMON,,,,
146,ACREAGE HOLDINGS INC-SUB,COMMON,,,Common Stock,Common Stock
147,ACRODEA INC,COMMON,Why How Do Co Inc,Common Stock,Common Stock,Common Stock
148,ACROW FORMWORK AND CONSTRUCT,COMMON,Acrow Formwork and Construction Services Ltd,Common Stock,Common Stock,Common Stock
149,ACTELION LTD-REG,COMMON,,,Common Stock,Common Stock
150,ACTIC GROUP AB,COMMON,Actic Group AB,Common Stock,Common Stock,Common Stock
151,ACTINIUM PHARMACEUTICALS INC,COMMON,,,Common Stock,Common Stock
152,ACTINOGEN MEDICAL LTD,COMMON,Actinogen Medical Ltd,Common Stock,Common Stock,Common Stock
153,ACTION CONSTRUCTION EQUIPMEN,COMMON,Action Construction Equipment Limited,Common Stock,Common Stock,Common Stock
154,ACTIVE ENERGY GROUP PLC,COMMON,,,Common Stock,Common Stock
155,ACTIVECARE INC,COMMON,,,,
156,ACTIVIA PROPERTIES INC,REIT,Activia Properties Inc,Common Stock,REIT,REIT
157,ACTIVISION BLIZZARD INC,,Activision Blizzard Inc,Common Stock,Common Stock,Common Stock
158,ACTUAL EXPERIENCE PLC,COMMON,Actual Experience plc,Common Stock,Common Stock,Common Stock
159,ACUITY BRANDS INC,,Acuity Brands Inc,Common Stock,Common Stock,Common Stock
160,ACUITYADS HOLDING INC,COMMON,AcuityAds Holdings Inc,Common Stock,Common Stock,Common Stock
161,ACURA PHARMACEUTICALS INC,COMMON,Acura Pharmaceuticals Inc,Common Stock,Common Stock,Common Stock
162,ACUSHNET HOLDINGS CORP,COMMON,Acushnet Holdings Corp,Common Stock,Common Stock,Common Stock
163,ACUSPHERE INC,COMMON,Acusphere Inc,Common Stock,Common Stock,Common Stock
164,AD SYSTEMS COMMUNICATIONS IN,COMMON,,,,
165,ADACEL TECHNOLOGIES LIMITED,COMMON,Adacel Tech Ltd,Common Stock,Common Stock,Common Stock
166,ADAIRS LTD,COMMON,Adairs Ltd,Common Stock,Common Stock,Common Stock
167,ADALTA LTD,COMMON,Adalta Ltd,Common Stock,Common Stock,Common Stock
168,ADAMA LTD-A,COMMON,ADAMA Ltd,Common Stock,Common Stock,Common Stock
169,ADAMA TECHNOLOGIES CORP,COMMON,,,Common Stock,Common Stock
170,ADAMAS FINANCE ASIA LTD,COMMON,,,,
171,ADAMAS PHARMACEUTICALS INC,COMMON,,,Common Stock,Common Stock
172,ADAMERA MINERALS CORP,COMMON,Adamera Minerals Corp.,Common Stock,Common Stock,Common Stock
173,ADAMIS PHARMACEUTICALS CORP,COMMON,Adamis Pharma,Common Stock,Common Stock,Common Stock
174,ADAMS NATURAL RESOURCES FUND,CLOSED-END FUND,Adams Natural Resources Closed Fund,FUND,Closed-End Fund,Mutual Fund
175,ADAMS PLC,COMMON,Adams Plc,Common Stock,Common Stock,Common Stock
176,ADANI ENTERPRISES LTD,COMMON,Adani Enterprises Limited,Common Stock,Common Stock,Common Stock
177,ADANI GAS LIMITED,COMMON,,,,
178,ADANI GREEN ENERGY LTD,COMMON,Adani Green Energy Limited,Common Stock,Common Stock,Common Stock
179,ADANI PORTS AND SPECIAL ECON,COMMON,Adani Ports and Special Economic Zone Limited,Common Stock,Common Stock,Common Stock
180,ADANI POWER LIMITED,COMMON,Adani Power Limited,Common Stock,Common Stock,Common Stock
181,ADANI TRANSMISSION LTD,COMMON,Adani Transmission Limited,Common Stock,Common Stock,Common Stock
182,ADAPTIMMUNE THERAPEUTICS-ADR,ADR,Adaptimmune Therapeutics Plc,Common Stock,ADR,Depositary Receipt
183,ADAPTIVE AD SYSTEMS INC,COMMON,Adaptive Ad Systems Inc,Common Stock,Common Stock,Common Stock
184,ADAPTIVE BIOTECHNOLOGIES,COMMON,Adaptive Biotechnologies Corp,Common Stock,Common Stock,Common Stock
185,ADAPTIVE MEDIAS INC,COMMON,Adaptive Medias Inc,Common Stock,Common Stock,Common Stock
186,ADARO ENERGY PT-UNSP ADR,ADR,,,,
187,ADASTRIA CO LTD,COMMON,Adastria Holdings Co Ltd,Common Stock,Common Stock,Common Stock
188,ADCARE HEALTH SYSTEMS INC,COMMON,,,,
189,ADCORE INC,COMMON,Adcore Inc,Common Stock,Common Stock,Common Stock
190,ADDENTAX GROUP CORP,COMMON,,,Common Stock,Common Stock
191,ADDEX THERAPEUTICS LTD,COMMON,Addex Therapeutics Ltd,Common Stock,Common Stock,Common Stock
192,ADDIKO BANK AG,COMMON,Addiko Bank AG,Common Stock,Common Stock,Common Stock
193,ADDSINO CO LTD -A,COMMON,Addsino Co Ltd,Common Stock,Common Stock,Common Stock
194,ADDUS HOMECARE CORP,COMMON,Addus HomeCare Corporation,Common Stock,Common Stock,Common Stock
195,ADDVALUE TECHNOLOGIES LTD,COMMON,Addvalue Technologies Ltd,Common Stock,Common Stock,Common Stock
196,ADECCO GROUP AG-REG,COMMON,Adecco Group AG Class N,Common Stock,Common Stock,Common Stock
197,ADEKA CORP,COMMON,Adeka Corp,Common Stock,Common Stock,Common Stock
198,ADELAIDE-ASSET BACK YIELD TR,CLOSED-END FUND,,,,
199,ADELPHIA RECOVERY TRUST,MISC.,,,,
200,ADEPTUS HEALTH INC-CLASS A,COMMON,,,Common Stock,Common Stock
201,ADES INTERNATIONAL HOLDING P,COMMON,,,,
202,ADESTO TECHNOLOGIES CORP,COMMON,,,,
203,ADEX MINING INC,COMMON,Adex Mining Inc,Common Stock,Common Stock,Common Stock
204,ADF FOODS LTD,COMMON,ADF Foods Limited,Common Stock,Common Stock,Common Stock
205,ADF GROUP INC,COMMON,ADF Group Inc.,Common Stock,Common Stock,Common Stock
206,ADFITECH INC/OK,COMMON,,,,
207,ADHERA THERAPEUTICS INC,COMMON,Adhera Therapeutics Inc,Common Stock,Common Stock,Common Stock
208,ADHERIUM LTD,COMMON,Adherium Ltd,Common Stock,Common Stock,Common Stock
209,ADHUNIK INDUSTRIES LTD,COMMON,,,,
