EOD-Code,EOD-Exchange,EOD-Name,EOD-Type,EOD-Country,EOD-Currency,ISIN,EOD-previousClose,EOD-previousCloseDate,industry-IB,longName-IB,marketName-IB,Symbol-IB,Name-IB,Country-IB,Exchange-IB,Currency-IB,Name-Investing.com,Exchange-Investing.com,Type-Investing.com,Market-Investing.com,CUSIP-Investing.com
1ST,AU,1stAvailable Ltd,Common Stock,Australia,AUD,AU0000001ST0,0.007,2022-07-20,Communications,1ST GROUP LTD,1ST,1ST,1ST GROUP LTD,Australia,ASX,AUD,,,,,
TWOU,US,2U Inc,Common Stock,USA,USD,US90214J1016,11.07,2022-07-20,"Consumer, Non-cyclical",2U INC,NMS,TWOU,,,,,,,,,
DDDX,US,3Dx Industries Inc,Common Stock,USA,USD,US88556A1007,0.0595,2022-07-20,Industrial,3DX INDUSTRIES INC,DDDX,DDDX,,,,,,,,,
MMM,US,3M Company,Common Stock,USA,USD,US88579Y1010,133.01,2022-07-20,Industrial,3M CO,MMM,MMM,3M CO,Mexico,US Exchange,,3M Company,NYSE,Equity,United States,88579Y101
MMM,AU,Marley Spoon AGs,Common Stock,Australia,AUD,AU0000013070,0.22,2022-07-20,"Consumer, Non-cyclical",MARLEY SPOON AG-CDI,MMM,MMM,,,,,,,,,
MMM,V,Minco Capital Corp,Common Stock,Canada,CAD,CA6025321036,0.05,2022-07-19,Basic Materials,MINCO CAPITAL CORP,MMM,MMM,,,,,,,,,
88E,LSE,88 Energy Ltd,Common Stock,UK,GBX,AU00000088E2,0.725,2022-07-20,Energy,88 ENERGY LTD,88E,88E,88 ENERGY LTD,United Kingdom,LSE,GBP,,,,,
7063,TSE,A Dot Co Ltd,Common Stock,Japan,JPY,JP3160590000,2102.0,2022-07-20,Communications,BIRDMAN INC,7063,7063,A DOT CO LTD,Japan,TSEJ,JPY,,,,,
AMKBY,US,AP Moeller-Maersk AS,Common Stock,USA,USD,US00202F1021,12.65,2022-07-20,Industrial,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,AMKBY,,,,,,,,,
AKH,OL,Aker Horizons AS,Common Stock,Norway,NOK,NO0010921232,16.185,2022-07-20,Financial,AKER HORIZONS ASA,AKH,AKH,,,,,,,,,
5GZ,SG,HGH Holdings Ltd,Common Stock,Singapore,SGD,SG1S12926576,0.012,2022-07-20,Industrial,HGH HOLDINGS LTD,5GZ,5GZ,AA GROUP HOLDINGS LTD,Singapore,SGX,SGD,,,,,
2018,HK,AAC Technologies Holdings Inc,Common Stock,Hong Kong,HKD,KYG2953R1149,15.88,2022-07-20,Industrial,AAC TECHNOLOGIES HOLDINGS IN,2018,2018,,,,,,,,,
2686,TSE,GFoot Co Ltd,Common Stock,Japan,JPY,JP3536900008,323.0,2022-07-20,"Consumer, Cyclical",GFOOT CO LTD,2686,2686,,,,,,,,,
2686,HK,AAG Energy Holdings Ltd,Common Stock,Hong Kong,HKD,KYG000371040,1.45,2022-07-20,Energy,AAG ENERGY HOLDINGS LTD,2686,2686,AAG ENERGY HOLDINGS LTD,Hong Kong,SEHK,HKD,,,,,
AAON,US,AAON Inc,Common Stock,USA,USD,US0003602069,55.56,2022-07-20,Industrial,AAON INC,NMS,AAON,AAON INC,United States of America,NASDAQ,USD,AAON Inc,NASDAQ,Equity,United States,000360206
AAALY,US,Aareal Bank AG ADR,Common Stock,USA,USD,US00254K1088,35.3,2022-07-20,Financial,AAREAL BANK AG-UNSPON ADR,CURRENT,AAALY,,,,,,,,,
AARON,NSE,Aaron Industries Limited,Common Stock,India,INR,INE721Z01010,125.45,2022-07-20,Industrial,AARON INDUSTRIES LTD,AARON,AARON,AARON INDUSTRIES LTD,India,NSE,INR,,,,,
AARTIDRUGS,NSE,Aarti Drugs Limited,Common Stock,India,INR,INE767A01016,447.9,2022-07-20,"Consumer, Non-cyclical",AARTI DRUGS LIMITED,AARTIDRUG,AARTIDRUG,AARTI DRUGS LIMITED,India,NSE,INR,,,,,
AARTIIND,NSE,Aarti Industries Limited,Common Stock,India,INR,INE769A01020,739.2,2022-07-20,Basic Materials,AARTI INDUSTRIES LIMITED,AARTIIND,AARTIIND,AARTI INDUSTRIES LIMITED,India,NSE,INR,,,,,
AAVAS,NSE,Aavas Financiers Limited,Common Stock,India,INR,INE216P01012,2267.5,2022-07-20,Financial,AAVAS FINANCIERS LTD,AAVAS,AAVAS,AAVAS FINANCIERS LTD,India,NSE,INR,,,,,
ABDP,LSE,Ab Dynamics,Common Stock,UK,GBX,GB00B9GQVG73,1145.0,2022-07-20,"Consumer, Non-cyclical",AB DYNAMICS PLC,ASQ1,ABDP,AB DYNAMICS PLC,United Kingdom,LSE,GBP,,,,,
ABQQ,US,AB International Group Corp,Common Stock,USA,USD,US00083U2024,0.0063,2022-07-20,"Consumer, Cyclical",AB INTERNATIONAL GROUP CORP,ABQQ,ABQQ,,,,,,,,,
ABP,AU,Abacus Property Group,Common Stock,Australia,AUD,AU000000ABP9,2.81,2022-07-20,Financial,ABACUS PROPERTY GROUP,ABP,ABP,ABACUS PROPERTY GROUP,Australia,ASX,AUD,,,,,
ABAN,NSE,Aban Offshore Limited,Common Stock,India,INR,INE421A01028,45.85,2022-07-20,Energy,ABAN OFFSHORE LIMITED,ABAN,ABAN,ABAN OFFSHORE LIMITED,India,NSE,INR,,,,,
ATTBF,US,Abattis Bioceuticals Corp,Common Stock,USA,USD,CA00258G1037,0.0,2022-07-20,"Consumer, Non-cyclical",ABATTIS BIOCEUTICALS CORP,NOINFO,ATTBF,,,,,,,,,
ABB,US,ABB Ltd,Common Stock,USA,USD,US0003752047,28.09,2022-07-20,Industrial,ABB LTD-SPON ADR,ABB,ABB,,,,,,,,,
ABB,AU,Aussie Broadband Ltd,Common Stock,Australia,AUD,AU0000106643,3.37,2022-07-20,Communications,AUSSIE BROADBAND LTD,ABB,ABB,,,,,,,,,
ABB,NSE,ABB India Limited,Common Stock,India,INR,INE117A01022,2598.55,2022-07-20,Industrial,ABB INDIA LTD,ABB,ABB,ABB INDIA LTD,India,NSE,INR,,,,,
ABBN,SW,ABB Ltd,Common Stock,Switzerland,CHF,CH0012221716,27.32,2022-07-20,Industrial,ABB LTD-REG,ABB,ABB,,,,,,,,,
ABBOTINDIA,NSE,Abbott India Limited,Common Stock,India,INR,INE358A01014,20014.25,2022-07-20,"Consumer, Non-cyclical",ABBOTT INDIA LTD,ABBOTINDI,ABBOTINDI,ABBOTT INDIA LTD,India,NSE,INR,,,,,
ABT,US,Abbott Laboratories,Common Stock,USA,USD,US0028241000,108.23,2022-07-20,"Consumer, Non-cyclical",ABBOTT LABORATORIES .,ABT,ABT,ABBOTT LABORATORIES,,US Exchange,,Abbott Laboratories,NYSE,Equity,United States,002824100
ABT,OL,Aqua Bio Technology ASA,Common Stock,Norway,NOK,NO0010307135,8.17,2022-07-20,"Consumer, Non-cyclical",AQUA BIO TECHNOLOGY ASA,ABT,ABT,,,,,,,,,
ABBV,US,AbbVie Inc,Common Stock,USA,USD,US00287Y1091,147.69,2022-07-20,"Consumer, Non-cyclical",ABBVIE INC,ABBV,ABBV,ABBVIE INC,Mexico,NYSE,USD,,,,,
ABBY,US,Abby Inc,Common Stock,USA,USD,US00287T3086,0.0,2022-07-20,Technology,ABBY INC,NOINFO,ABBY,,,,,,,,,
2670,TSE,ABC-Mart Inc,Common Stock,Japan,JPY,JP3152740001,5870.0,2022-07-20,"Consumer, Cyclical",ABC-MART INC,2670,2670,ABC-MART INC,Japan,TSEJ,JPY,,,,,
ABCE,US,ABCO Energy Inc,Common Stock,USA,USD,US00287V4023,0.0058,2022-07-20,Industrial,ABCO ENERGY INC,CURRENT,ABCE,,,,,,,,,
ABI,V,Abcourt Mines Inc.,Common Stock,Canada,CAD,CA00288E3005,0.06,2022-07-19,Basic Materials,ABCOURT MINES INC -CL B,CURRENT,ABMBF,,,,,,,,,
ABN,V,Aben Resources Ltd,Common Stock,Canada,CAD,CA00289T3064,0.04,2022-07-20,Basic Materials,ABEN RESOURCES LTD,CURRENT,ABNAF,,,,,,,,,
ABEO,PA,Abeo SAS,Common Stock,France,EUR,FR0013185857,19.9,2022-07-20,"Consumer, Cyclical",ABEO SA,XETRA,ABEO,,,,,,,,,
ANF,US,Abercrombie & Fitch Company,Common Stock,USA,USD,US0028962076,18.51,2022-07-20,"Consumer, Cyclical",ABERCROMBIE & FITCH CO-CL A,ANF,ANF,ABERCROMBIE & FITCH  -CL A,,US Exchange,,Abercrombie & Fitch Company,NYSE,Equity,United States,002896207
AAIF,LSE,abrdn Asian Income Fund Limited,Common Stock,UK,GBX,GB00B0P6J834,214.0,2022-07-20,,ABRDN ASIAN INCOME FUND L,SSMM,AAIF,ABERDEEN ASIAN INCOME FUND L,United Kingdom,LSE,GBP,,,,,
IF,MI,Banca IFIS,Common Stock,Italy,EUR,IT0003188064,12.64,2022-07-20,Financial,BANCA IFIS SPA,XETRA,IF,,,,,,,,,
AAB,TO,Aberdeen International Inc.,Common Stock,Canada,CAD,CA0030691012,0.065,2022-07-20,Financial,ABERDEEN INTERNATIONAL INC.,CURRENT,AABVF,,,,,,,,,
JEQ,US,Aberdeen Japan Equity Fund Inc,FUND,USA,USD,US00306J1097,5.71,2022-07-20,,ABRDN JAPAN EQUITY FUND INC,JEQ,JEQ,,,,,,,,,
AJIT,LSE,abrdn Japan Investment Trust PLC,Common Stock,UK,GBX,GB0003920757,545.0,2022-07-20,,ABRDN JAPAN INVESTMENT TRUST,SET3,AJIT,ABERDEEN JAPAN INVESTMENT TR,United Kingdom,LSE,GBP,,,,,
AAS,WAR,Arts Alliance GK SA,Common Stock,Poland,PLN,PLMIDVN00017,20.0,2022-07-19,Technology,ARTS ALLIANCE GK SA,AAS,AAS,,,,,,,,,
ASIZ,LSE,Aberforth Split Level Income Trust PLC,Common Stock,UK,GBX,GB00BYPBD519,116.0,2022-07-20,,ABERFORTH SPLIT LEVEL INCOME,SSQ3,ASIZ,,,,,,,,,
AQUA,OL,AqualisBraemar LOC ASA,Common Stock,Norway,NOK,NO0010715394,12.75,2022-07-19,"Consumer, Non-cyclical",ABL GROUP ASA,ABL,ABL,,,,,,,,,
ABILF,US,Ability Inc,Common Stock,USA,USD,KYG8789K1242,0.2,2022-07-20,Industrial,ABILITY INC,ABIL,ABIL,ABILITY INC,Israel,TASE,ILS,,,,,
ABMD,US,ABIOMED Inc,Common Stock,USA,USD,US0036541003,276.16,2022-07-20,"Consumer, Non-cyclical",ABIOMED INC,NMS,ABMD,ABIOMED INC,Germany,US Exchange,,ABIOMED Inc,NASDAQ,Equity,United States,003654100
ABLE,US,Able Energy Inc,Common Stock,USA,USD,US0037091024,0.0001,2022-07-12,Energy,ABLE ENERGY INC,ABLE,ABLE,,,,,,,,,
1627,TSE,NEXT FUNDS TOPIX-17 Electric Power & Gas,ETF,Japan,JPY,JP3046660001,6604.0,2022-07-20,,NF TPX-17 ELECTRIC POWER&GAS,1627,1627,,,,,,,,,
