Code,Country,Currency,Exchange,ISIN,Name,Type,previousClose,previousCloseDate
1ST,Australia,AUD,AU,AU0000001ST0,1stAvailable Ltd,Common Stock,0.008,2022-07-21
MMM,USA,USD,US,US88579Y1010,3M Company,Common Stock,133.95,2022-07-21
88E,UK,GBX,LSE,AU00000088E2,88 Energy Ltd,Common Stock,0.725,2022-07-21
7063,Japan,JPY,TSE,JP3160590000,A Dot Co Ltd,Common Stock,2136.0,2022-07-21
AMRK,Israel,ILA,TA,IL0010922040,Amir Marketing and Investments in Agriculture Ltd,Common Stock,3911.0,2022-07-21
5GZ,Singapore,SGD,SG,SG1S12926576,HGH Holdings Ltd,Common Stock,0.012,2022-07-20
2686,Hong Kong,HKD,HK,KYG000371040,AAG Energy Holdings Ltd,Common Stock,1.43,2022-07-21
AAON,USA,USD,US,US0003602069,AAON Inc,Common Stock,57.63,2022-07-21
AARON,India,INR,NSE,INE721Z01010,Aaron Industries Limited,Common Stock,121.3,2022-07-21
AARTIDRUGS,India,INR,NSE,INE767A01016,Aarti Drugs Limited,Common Stock,439.55,2022-07-21
AARTIIND,India,INR,NSE,INE769A01020,Aarti Industries Limited,Common Stock,777.5,2022-07-21
AAVAS,India,INR,NSE,INE216P01012,Aavas Financiers Limited,Common Stock,2256.35,2022-07-21
ABDP,UK,GBX,LSE,GB00B9GQVG73,Ab Dynamics,Common Stock,1150.0,2022-07-21
ABP,Australia,AUD,AU,AU000000ABP9,Abacus Property Group,Common Stock,2.81,2022-07-21
ABAN,India,INR,NSE,INE421A01028,Aban Offshore Limited,Common Stock,45.7,2022-07-21
ABB,India,INR,NSE,INE117A01022,ABB India Limited,Common Stock,2772.75,2022-07-21
ABB,India,INR,NSE,INE117A01022,ABB India Limited,Common Stock,2772.75,2022-07-21
ABA,Germany,EUR,F,DE0006209901,ALBA SE,Common Stock,26.4,2022-07-20
ABA,Australia,AUD,AU,AU000000ABA1,Auswide Bank Ltd,Common Stock,6.65,2022-07-21
ABBOTINDIA,India,INR,NSE,INE358A01014,Abbott India Limited,Common Stock,20117.65,2022-07-21
ABT,USA,USD,US,US0028241000,Abbott Laboratories,Common Stock,110.69,2022-07-21
ABBV,USA,USD,US,US00287Y1091,AbbVie Inc,Common Stock,147.75,2022-07-21
2670,Japan,JPY,TSE,JP3152740001,ABC-Mart Inc,Common Stock,5840.0,2022-07-21
ANF,USA,USD,US,US0028962076,Abercrombie & Fitch Company,Common Stock,18.67,2022-07-21
