,EOD-Code,EOD-Exchange,EOD-Name,EOD-Type,EOD-Country,EOD-Currency,EOD-ISIN,EOD-previousClose,EOD-previousCloseDate
0,1ST,AU,1stAvailable Ltd,Common Stock,Australia,AUD,AU0000001ST0,0.007,2022-07-20
0,TWOU,US,2U Inc,Common Stock,USA,USD,US90214J1016,11.07,2022-07-20
0,DDDX,US,3Dx Industries Inc,Common Stock,USA,USD,US88556A1007,0.0595,2022-07-20
0,MMM,US,3M Company,Common Stock,USA,USD,US88579Y1010,133.01,2022-07-20
1,MMM,XETRA,3M Company,Common Stock,Germany,EUR,US88579Y1010,130.64,2022-07-20
2,MMM,F,3M Company,Common Stock,Germany,EUR,US88579Y1010,130.6,2022-07-20
3,MMM,SW,3M Company,Common Stock,Switzerland,CHF,US88579Y1010,145.0,2022-07-19
0,MMM,AU,Marley Spoon AGs,Common Stock,Australia,AUD,AU0000013070,0.22,2022-07-20
0,MMM,V,Minco Capital Corp,Common Stock,Canada,CAD,CA6025321036,0.05,2022-07-19
1,MGHCF,US,Minco Capital Corp,Common Stock,USA,USD,CA6025321036,0.04,2022-07-19
2,MI5,F,Minco Capital Corp,Common Stock,Germany,EUR,CA6025321036,0.028,2022-07-20
0,88E,LSE,88 Energy Ltd,Common Stock,UK,GBX,AU00000088E2,0.725,2022-07-20
1,88E,AU,88 Energy Ltd,Common Stock,Australia,AUD,AU00000088E2,0.013,2022-07-20
0,7063,TSE,A Dot Co Ltd,Common Stock,Japan,JPY,JP3160590000,2102.0,2022-07-20
0,AMKBY,US,AP Moeller-Maersk AS,Common Stock,USA,USD,US00202F1021,12.65,2022-07-20
0,AKH,OL,Aker Horizons AS,Common Stock,Norway,NOK,NO0010921232,16.185,2022-07-20
0,5GZ,SG,HGH Holdings Ltd,Common Stock,Singapore,SGD,SG1S12926576,0.012,2022-07-20
0,2018,HK,AAC Technologies Holdings Inc,Common Stock,Hong Kong,HKD,KYG2953R1149,15.88,2022-07-20
1,A2XN,F,AAC Technologies Holdings Inc,Common Stock,Germany,EUR,KYG2953R1149,1.976,2022-07-20
0,2686,TSE,GFoot Co Ltd,Common Stock,Japan,JPY,JP3536900008,323.0,2022-07-20
0,2686,HK,AAG Energy Holdings Ltd,Common Stock,Hong Kong,HKD,KYG000371040,1.45,2022-07-20
0,AAON,US,AAON Inc,Common Stock,USA,USD,US0003602069,55.56,2022-07-20
0,AAALY,US,Aareal Bank AG ADR,Common Stock,USA,USD,US00254K1088,35.3,2022-07-20
0,AARON,NSE,Aaron Industries Limited,Common Stock,India,INR,INE721Z01010,125.45,2022-07-20
0,AARTIDRUGS,NSE,Aarti Drugs Limited,Common Stock,India,INR,INE767A01016,447.9,2022-07-20
1,AARTIDRUGS,BSE,AARTI DRUGS LTD.,Common Stock,India,INR,INE767A01016,447.9,2022-07-20
0,AARTIIND,NSE,Aarti Industries Limited,Common Stock,India,INR,INE769A01020,739.2,2022-07-20
