,IB-industry,IB-longName,IB-marketName,IB-ISIN,IB-Symbol
0,Communications,1ST GROUP LTD,1ST,AU0000001ST0,1ST
1,"Consumer, Non-cyclical",2U INC,NMS,US90214J1016,TWOU
2,Industrial,3DX INDUSTRIES INC,DDDX,US88556A1007,DDDX
3,"Consumer, Non-cyclical",MARLEY SPOON AG-CDI,MMM,AU0000013070,MMM
4,Industrial,3M CO,MMM,US88579Y1010,MMM
5,Basic Materials,MINCO CAPITAL CORP,MMM,CA6025321036,MMM
6,Basic Materials,MINING MINERALS & METALS PLC,SSQ3,GB00BF7L9148,MMM
7,Energy,88 ENERGY LTD,88E,AU00000088E2,88E
8,Financial,A CLASSIFIED AD INC,AQFD,US00089Y1091,AQFD
9,Communications,BIRDMAN INC,7063,JP3160590000,7063
10,Industrial,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,US00202F1021,AMKBY
11,Industrial,A TOUTE VITESSE-ATV,MLATV,FR0010050773,MLATV
12,"Consumer, Cyclical",A-MARK PRECIOUS METALS INC,NMS,US00181T1079,AMRK
13,"Consumer, Non-cyclical",AMIR MARKETING AND INVEST,AMRK,IL0010922040,AMRK
14,,A-TEC INDUSTRIES AG,AKH,AT0000A1ZH55,AKH
15,Financial,AKER HORIZONS ASA,AKH,NO0010921232,AKH
16,Industrial,HGH HOLDINGS LTD,5GZ,SG1S12926576,5GZ
17,Industrial,AAC TECHNOLOGIES HOLDINGS IN,2018,KYG2953R1149,2018
18,"Consumer, Cyclical",GFOOT CO LTD,2686,JP3536900008,2686
19,Energy,AAG ENERGY HOLDINGS LTD,2686,KYG000371040,2686
20,Industrial,AAON INC,NMS,US0003602069,AAON
21,Financial,AAREAL BANK AG-UNSPON ADR,CURRENT,US00254K1088,AAALY
22,Industrial,AARON INDUSTRIES LTD,AARON,INE721Z01010,AARON
23,Basic Materials,ATON RESOURCES INC,AAN,CA0496AP2026,AAN
24,"Consumer, Non-cyclical",AARON'S CO INC/THE,AAN,US00258W1080,AAN
25,"Consumer, Non-cyclical",AARTI DRUGS LIMITED,AARTIDRUG,INE767A01016,AARTIDRUG
26,,AARTI DRUGS LIMITED - SPINOFF,AARTIDRUG,INARDR300920,AARTIDRUG
27,Basic Materials,AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020,AARTIIND
28,Financial,AAVAS FINANCIERS LTD,AAVAS,INE216P01012,AAVAS
29,"Consumer, Non-cyclical",AB DYNAMICS PLC,ASQ1,GB00B9GQVG73,ABDP
30,"Consumer, Cyclical",AB INTERNATIONAL GROUP CORP,ABQQ,US00083U2024,ABQQ
31,Financial,AB&T FINANCIAL CORP,ABTO,US00037W1062,ABTO
32,Financial,ABACUS PROPERTY GROUP,ABP,AU000000ABP9,ABP
33,"Consumer, Cyclical",PANERA BREAD COMPANY-CLASS A,XETRA,US69840W1080,ABP
34,Financial,ABAKAN INC,ABKI,US00258J1079,ABKI
35,Energy,ABAN OFFSHORE LIMITED,ABAN,INE421A01028,ABAN
36,"Consumer, Non-cyclical",ABATTIS BIOCEUTICALS CORP,NOINFO,CA00258G1037,ATTBF
37,"Consumer, Non-cyclical",ABAXIS INC,ABAX,US0025671050,ABAX
38,Industrial,ABB LTD-SPON ADR,ABB,US0003752047,ABB
39,Communications,AUSSIE BROADBAND LTD,ABB,AU0000106643,ABB
40,Industrial,ABB INDIA LTD,ABB,INE117A01022,ABB
41,Industrial,ABB LTD-REG,ABB,CH0012221716,ABB
42,"Consumer, Non-cyclical",AB-BIOTICS SA,ABB,ES0109659013,ABB
43,Financial,AUSWIDE BANK LTD,ABA,AU000000ABA1,ABA
44,Industrial,ALBA SE,XETRA,DE0006209901,ABA
45,"Consumer, Non-cyclical",ABBA MEDIX GROUP INC,ABA,CA00258L1022,ABA
46,"Consumer, Non-cyclical",ABACO CAPITAL PLC,ABA,GB00B3LXPB43,ABA
47,Technology,ABBY INC,NOINFO,US00287T3086,ABBY
48,"Consumer, Non-cyclical",ABBOTT INDIA LTD,ABBOTINDI,INE358A01014,ABBOTINDI
49,"Consumer, Non-cyclical",ABBOTT LABORATORIES .,ABT,US0028241000,ABT
50,Financial,COBRACREST AG & CO KGAA,ABT,DE000A0AHTE5,ABT
51,"Consumer, Non-cyclical",AQUA BIO TECHNOLOGY ASA,ABT,NO0010307135,ABT
52,"Consumer, Cyclical",ABITARE IN SPA,XETRA,IT0005445280,ABT
53,"Consumer, Non-cyclical",ABBVIE INC,ABBV,US00287Y1091,ABBV
54,"Consumer, Cyclical",ABC-MART INC,2670,JP3152740001,2670
55,Industrial,ABCO ENERGY INC,CURRENT,US00287V4023,ABCE
56,Basic Materials,ABCOURT MINES INC -CL B,CURRENT,CA00288E3005,ABMBF
57,Basic Materials,ABEN RESOURCES LTD,CURRENT,CA00289T3064,ABNAF
58,"Consumer, Non-cyclical",ABEONA THERAPEUTICS INC,SCM,US00289Y2063,ABEO
59,"Consumer, Cyclical",ABEO SA,XETRA,FR0013185857,ABEO
60,"Consumer, Cyclical",ABERCROMBIE & FITCH CO-CL A,ANF,US0028962076,ANF
61,Basic Materials,ANFIELD GOLD CORP,ANF,CA03463Y1097,ANF
62,,ABRDN ASIAN INCOME FUND L,SSMM,GB00B0P6J834,AAIF
63,Basic Materials,FABLED SILVER GOLD CORP-A,FCO,CA30317M3049,FCO
64,,ABRDN GLOBAL INCOME FUND INC,FCO,US0030131090,FCO
65,,ABERDEEN GREATER CHINA FUND,GCH,US0030311015,GCH
66,Financial,BANCA IFIS SPA,XETRA,IT0003188064,IF
67,,ABERDEEN INDONESIA FUND INC,IF,US00305P1066,IF
68,Financial,ABERDEEN INTERNATIONAL INC.,CURRENT,CA0030691012,AABVF
69,,ABERDEEN ISRAEL FUND INC,ISL,US00301L1098,ISL
70,,ABRDN JAPAN EQUITY FUND INC,JEQ,US00306J1097,JEQ
71,,ABRDN JAPAN INVESTMENT TRUST,SET3,GB0003920757,AJIT
72,Basic Materials,AUS TIN MINING LTD,ANW,AU000000ANW0,ANW
73,,ABERDEEN NEW THAI INV TR-ORD,ANW,GB0000059971,ANW
74,,ABRDN ASIA FOCUS PLC,SSMM,GB00BMF19B58,AAS
75,Technology,ARTS ALLIANCE GK SA,AAS,PLMIDVN00017,AAS
76,,ABERFORTH SMALLER COS-ORD,STMM,GB0000066554,ASL
77,Basic Materials,ARGENTUM SILVER CORP,ASL,CA04014D2068,ASL
78,"Consumer, Cyclical",AKASOL AG,ASL,DE000A2JNWZ9,ASL
79,,ABERFORTH SPLIT LEVEL INCOME,SSQ3,GB00BYPBD519,ASIZ
80,"Consumer, Non-cyclical",ABBOTT LABORATORIES .,XETRA,US0028241000,ABL
81,"Consumer, Non-cyclical",ABL GROUP ASA,ABL,NO0010715394,ABL
82,Industrial,ABILITY INC,ABIL,KYG8789K1242,ABIL
83,"Consumer, Non-cyclical",ABIOMED INC,NMS,US0036541003,ABMD
84,Basic Materials,ABITIBI ROYALTIES INC,RZZ,CA0036841074,RZZ
85,Energy,ABLE ENERGY INC,ABLE,US0037091024,ABLE
86,,NF TPX-17 ELECTRIC POWER&GAS,1627,JP3046660001,1627
87,Industrial,ABLE ENGINEERING HOLDINGS LT,1627,KYG0R8151046,1627
88,"Consumer, Non-cyclical",ABM INDUSTRIES INC,ABM,US0009571003,ABM
89,Basic Materials,ABEN RESOURCES LTD,ABN,CA00289T3064,ABN
90,Financial,ABN AMRO BANK NV-CVA,XETRA,NL0011540547,ABN
91,Industrial,ABO GROUP ENVIRONMENT,ABO,BE0974278104,ABO
92,Diversified,ABOITIZ EQUITY VENTURES-ADR,LIMITED,US0037253061,ABTZY
93,"Consumer, Cyclical",GOLDLION HOLDINGS LTD.,533,HK0533002009,533
94,"Consumer, Cyclical",ABR HOLDINGS LTD,533,SG0533000253,533
95,Basic Materials,ABRASILVER RESOURCE CORP,ABRA,CA00379L1067,ABRA
96,Technology,ABRA INFORMATION TECHNOLOGIE,ABRA,IL0011016669,ABRA
97,Energy,ABRAXAS PETROLEUM CORP,PRIMQX,US0038303048,AXAS
98,"Consumer, Cyclical",ASBURY AUTOMOTIVE GROUP,ABG,US0434361046,ABG
99,Industrial,ABENGOA SA -CL A,ABG,ES0105200416,ABG
100,Financial,ABG SUNDAL COLLIER HOLDING,ABG,NO0003021909,ABG
101,"Consumer, Non-cyclical",AMERISOURCEBERGEN CORP.,XETRA,US03073E1055,ABG
102,Financial,ABSA GROUP LTD,ABG,ZAE000255915,ABG
103,Industrial,ABSOLENT AIR CARE GROUP AB,ABSO,SE0006256558,ABSO
104,Financial,ABSOLUTE RETURN TRUST LTD,ABRL,GG00BCCW5806,ABRL
105,Energy,ABTERRA LTD,L5I,SG2C12961455,L5I
106,"Consumer, Cyclical",ABUNDANCE INTERNATIONAL LTD,541,SG1I02877971,541
107,Industrial,AC ENERGY INC,ACEN,US00389M1027,ACEN
108,"Consumer, Non-cyclical",AC IMMUNE SA,NMS,CH0329023102,ACIU
109,Communications,ACACIA COMMUNICATIONS INC,ACIA,US00401C1080,ACIA
110,"Consumer, Non-cyclical",ACACIA DIVERSIFIED HOLDINGS,NOINFO,US00389L1044,ACCA
111,Industrial,ARCOSA INC,ACA,US0396531008,ACA
112,Financial,AXIOM CAPITAL ADVISORS INC,ACA,CA05465N1069,ACA
113,Financial,CREDIT AGRICOLE SA,EUSTARS,FR0000045072,ACA
114,Basic Materials,ACACIA MINING PLC,ACA,GB00B61D2N63,ACA
115,"Consumer, Non-cyclical",ACARTUS SA,ACA,PLACRTS00018,ACA
116,"Consumer, Non-cyclical",ACACIA PHARMA GROUP PLC,ACPH,GB00BYWF9Y76,ACPH
117,"Consumer, Non-cyclical",ACACIA RESEARCH CORP,NMS,US0038813079,ACTG
118,"Consumer, Non-cyclical",ACADEMIES AUSTRALASIA GROUP,AKG,AU000000AKG9,AKG
119,"Consumer, Non-cyclical",ANDERSONS INC/THE,XETRA,US0341641035,AKG
120,"Consumer, Cyclical",AKG EXIM LTD,AKG,INE00Y801016,AKG
121,"Consumer, Non-cyclical",ACADIA HEALTHCARE CO INC,NMS,US00404A1097,ACHC
122,"Consumer, Non-cyclical",ACADIA PHARMACEUTICALS INC,NMS,US0042251084,ACAD
123,"Consumer, Non-cyclical",ACADEMEDIA AB,ACAD,SE0007897079,ACAD
124,Financial,ACADIA REALTY TRUST,AKR,US0042391096,AKR
125,Communications,ACKROO INC,AKR,CA00461T2074,AKR
126,Basic Materials,ANDROMEDA METALS LTD,ADN,AU000000ADN0,ADN
127,Energy,ADVENT TECHNOLOGIES HOLDINGS,SCM,US00788A1051,ADN
128,Financial,ABERDEEN ASSET MGMT PLC,ADN,GB0000031285,ADN
129,Financial,FIRST SPONSOR GROUP LTD,ADN,KYG3488W1078,ADN
130,"Consumer, Non-cyclical",KONINKLIJKE AHOLD DELHAIZE N,ADN,NL0011794037,ADN
131,Basic Materials,ACADIAN TIMBER CORP,ADN,CA0042721005,ADN
132,Diversified,CARLOTZ INC,ACAMU,US0042852014,ACAMU
133,Financial,AUSTRALIAN ETHICAL INVT LTD,AEF,AU000000AEF4,AEF
134,,ABRDN EMERGING MARKETS EQUIT,AEF,US00301W1053,AEF
135,"Consumer, Cyclical",AEFFE SPA,AEF,IT0001384590,AEF
136,"Consumer, Non-cyclical",ACASTI PHARMA INC,SCM,CA00430K8730,ACST
137,Communications,ACCELERA INNOVATIONS INC,NOINFO,US00434W1053,ACNV
138,"Consumer, Non-cyclical",ACCELERON PHARMA INC,XLRN,US00434H1086,XLRN
139,Basic Materials,ARCHER MATERIALS LTD,AXE,AU000000AXE7,AXE
140,Technology,ACCELEWARE LTD,AXE,CA00433V1085,AXE
141,"Consumer, Cyclical",ANIXTER INTL INC,AXE,US0352901054,AXE
142,"Consumer, Cyclical",ACCELL GROUP,XETRA,NL0009767532,ACCEL
143,Technology,ACCELPATH INC,ACLP,US00433U2096,ACLP
144,Technology,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,INE793A01012,ACCELYA
145,"Consumer, Cyclical",ACCENT GROUP LTD,AX1,AU000000AX19,AX1
146,"Consumer, Cyclical",ANIXTER INTL INC,XETRA,US0352901054,AX1
147,"Consumer, Non-cyclical",ACCENTIA BIOPHARMACEUTICALS,ABPI,US00430L1035,ABPI
148,Technology,ACCENTURE PLC-CL A,ACN,IE00B4BNMY34,ACN
149,Technology,ACCESS CO LTD,4813,JP3108060009,4813
150,"Consumer, Non-cyclical",ACCESS GROUP HOLDINGS CO LTD,7042,JP3108190004,7042
151,Energy,ACCESS-POWER & CO INC,CURRENT,US00431N1081,ACCR
152,Communications,ACCESSO TECHNOLOGY GROUP PLC,AMSM,GB0001771426,ACSO
153,Utilities,ACEA SPA,ACE,IT0001207098,ACE
154,"Consumer, Non-cyclical",ACCIDENT EXCHANGE GROUP PLC,ACE,GB00B00LL325,ACE
155,Industrial,ACTION CONSTRUCTION EQUIPMEN,ACE,INE731H01025,ACE
156,"Consumer, Non-cyclical",ASCELIA PHARMA AB,ACE,SE0010573113,ACE
157,Financial,ANANDA DEVELOPMENTS PLC,ANA,GB00BDQPXQ60,ANA
158,Industrial,ACCIONA SA,ANA,ES0125220311,ANA
159,"Consumer, Non-cyclical",ACCO BRANDS CORP,ACCO,US00081T1088,ACCO
160,"Consumer, Cyclical",ACCOR SA,ACCN,FR0000120404,ACCN
161,Financial,ACCORD FINANCIAL CORP,ACD,CA00435L1085,ACD
162,"Consumer, Non-cyclical",ADECOAGRO SA,XETRA,LU0584671464,ACD
163,,ACENCIA DEBT STRATEGIES LTD,ACD,GB00B0MSB420,ACD
164,Communications,ACCRETE INC,4395,JP3108180005,4395
165,"Consumer, Non-cyclical",ACCROL GROUP HOLDINGS PLC,AMSM,GB00BZ6VT592,ACRL
166,Basic Materials,ATACAMA RESOURCES INTNL INC,LIMITED,US04651H1068,ACRL
167,Financial,AXIS CAPITAL HOLDINGS LTD,AXS,BMG0692U1099,AXS
168,Industrial,ACCSYS TECHNOLOGIES PLC,AMSM,GB00BQQFX454,AXS
169,Industrial,ACCURACY SHIPPING LTD,ACCURACY,INE648Z01015,ACCURACY
