,full_name,name,symbol,Name_197,fuzz_socre1,fuzz_socre2
6758,2U Inc,2U Inc,TWOU,2U INC,100,100
76,3M Co DRC,3M DRC,MMM,3M CO,71,73
1446,Minco Capital Corp,Minco Capital,MMM,3M CO,26,33
2736,3M Company,3M,MMM,3M CO,67,57
8013,3M Co,3M,MMM,3M CO,100,57
16214,88 Energy Ltd,88 Energy,88E,88 ENERGY LTD,100,82
28381,A Dot Co Ltd,A Dot,7063,A DOT CO LTD,100,59
5706,AP Moeller-Maersk AS,AP Moeller-Maersk AS,AMKBY,A P MOLLER-MAERSK-B-UNSP ADR,71,71
7104,Amark Preci,Amark Preci,AMRK,A-MARK PRECIOUS METALS INC,59,59
37732,Amir Marketing and Investments in Agriculture Ltd,Amir Marketing,AMRK,A-MARK PRECIOUS METALS INC,32,50
21814,AAC Technologies Holdings Inc,AAC Technologies,2018,AAC TECHNOLOGIES HOLDINGS IN,98,73
22290,AAG Energy Holdings Ltd,AAG Energy Holdings Ltd,2686,AAG ENERGY HOLDINGS LTD,100,100
27855,GFoot Co Ltd,GFoot Co Ltd,2686,AAG ENERGY HOLDINGS LTD,34,34
3868,AAON Inc,AAON,AAON,AAON INC,100,67
1793,Aton Resources Inc,Aton Resources,AAN,AARON'S INC,62,48
7634,Aarons Inc,Aarons,AAN,AARON'S INC,86,71
10370,Aaron’s Inc,Aarons,AAN,AARON'S INC,100,71
38267,AAN Digital Services Co KSCP,AAN Digital Services,AAN,AARON'S INC,41,45
16924,Abacus Property Group,Abacus Property,ABP,ABACUS PROPERTY GROUP,100,83
22818,Aban Offshore Ltd.,Aban Offshore,ABAN,ABAN OFFSHORE LIMITED,89,76
33804,Abans Electricals PLC,Abans Electricals,ABAN,ABAN OFFSHORE LIMITED,38,42
7746,ABB Ltd,ABB ADR,ABB,ABB INDIA LTD,70,50
13748,ABB Ltd,ABB,ABB,ABB INDIA LTD,70,38
22815,ABB India Ltd,ABB India,ABB,ABB INDIA LTD,100,82
7746,ABB Ltd,ABB ADR,ABB,ABB INDIA LTD,70,50
13748,ABB Ltd,ABB,ABB,ABB INDIA LTD,70,38
22815,ABB India Ltd,ABB India,ABB,ABB INDIA LTD,100,82
17070,Auswide Bank Ltd,Auswide Bank,ABA,ABBA MEDIX GROUP INC,28,25
29966,Abano Healthcare Group Ltd,Abano Healthcare,ABA,ABBA MEDIX GROUP INC,57,33
30547,Abacore Capital Holdings Inc,Abacore Capital,ABA,ABBA MEDIX GROUP INC,38,34
11069,Abbey,Abbey,ABBY,ABBEY PLC,71,71
1091,Absolute Software Corporation,Absolute Software,ABT,ABBOTT LABORATORIES,50,44
2836,Abbott Laboratories,Abbott Labs,ABT,ABBOTT LABORATORIES,100,73
36265,Bentre Aquaproduct Import and Export JSC,Bentre Aquaproduct Import Export,ABT,ABBOTT LABORATORIES,37,39
2835,AbbVie Inc,AbbVie,ABBV,ABBVIE INC,100,75
11069,Abbey,Abbey,ABBY,ABBY INC,62,62
25431,ABC-Mart Inc,ABC-Mart Inc,2670,ABC-MART INC,100,100
9671,Abeo SAS,Abeo SAS,ABEO,ABEONA THERAPEUTICS INC,39,39
33690,Ambeon Holdings PLC,Ambeon,ABEO,ABEONA THERAPEUTICS INC,43,34
3559,Abercrombie & Fitch Company,Abercrombie&Fitch,ANF,ABERCROMBIE & FITCH  -CL A,81,87
10471,Abercrombie & Fitch Co,Abercrombie&Fitch,ANF,ABERCROMBIE & FITCH  -CL A,90,87
16374,Aberdeen Asian Income Fund,Aberdeen Asian Income,AAIF,ABERDEEN ASIAN INCOME FUND L,96,86
4933,Aberdeen Global Income Fund Inc,Aberdeen Global,FCO,ABERDEEN GLOBAL INCOME FUND,93,71
11293,Banca IFIS,Banca IFIS,IF,ABERDEEN INDONESIA FUND INC,32,32
17489,Aus Tin Mining Ltd,Aus Tin Mining Ltd,ANW,ABERDEEN NEW THAI INV TR-ORD,39,39
18225,Apex Foods Ltd,Apex Foods,APEF,ABERDEEN PRIVATE EQUITY FUND,33,26
16233,Aberdeen Asian Smaller Companies Investment Trust PLC,Aberdeen Asian Smaller,AAS,ABERDEEN STANDARD ASIA FOCUS,47,68
15931,Aberforth Smaller Companies Trust PLC,Aberforth Smaller,ASL,ABERFORTH SMALLER COS-ORD,71,81
39086,Automatic Systems Ltd,Automatic Systems,ASL,ABERFORTH SMALLER COS-ORD,35,33
17445,Abilene Oil and Gas Ltd,Abilene Oil and Gas Ltd,ABL,ABILENE OIL AND GAS LTD,100,100
30170,Allied Bank Ltd,Allied Bank,ABL,ABILENE OIL AND GAS LTD,42,24
7389,Ability Inc,Ability,ABIL,ABILITY INC,100,78
3193,Abiomed Inc,ABIOMED,ABMD,ABIOMED INC,100,78
3873,ABIOMED Inc,ABIOMED,ABMD,ABIOMED INC,100,78
1787,Abitibi Royalties Inc,Abitibi Royalties Inc,RZZ,ABITIBI ROYALTIES INC,100,100
45858,NEXT FUNDS TOPIX-17 Electric Power & Gas,NEXT FUNDS TOPIX-17 Electric Power & Gas,1627,ABLE ENGINEERING HOLDINGS LT,30,30
1804,Athabasca Minerals Inc,Athabasca Minerals Inc,ABM,ABM INDUSTRIES INC,50,50
5435,ABM Industries Incorporated,ABM Industries,ABM,ABM INDUSTRIES INC,80,88
9791,ABM Industries Inc,ABM Industries,ABM,ABM INDUSTRIES INC,100,88
8318,ABO Group,ABO Group,ABO,ABO GROUP ENVIRONMENT,60,60
3994,Abraxas Petroleum Corporation,Abraxas Petroleum,AXAS,ABRAXAS PETROLEUM CORP,86,87
5203,Asbury Automotive Group Inc,Asbury Automotive,ABG,ABSA GROUP LTD,49,32
13508,Abengoa,Abengoa,ABG,ABSA GROUP LTD,29,29
30553,Asiabest Group International Inc,Asiabest Group,ABG,ABSA GROUP LTD,48,64
13986,Absolent Group AB,Absolent Group AB,ABSO,ABSOLENT GROUP AB,100,100
6649,AC Immune Ltd,AC Immune,ACIU,AC IMMUNE SA,80,86
17471,Acacia Coal Ltd,Acacia Coal Ltd,AJC,ACACIA COAL LTD,100,100
7515,Acacia Communications Inc,Acacia Com,ACIA,ACACIA COMMUNICATIONS INC,100,57
7823,Arcosa Inc,Arcosa,ACA,ACACIA MINING PLC,52,26
12697,Acartus SA,Acartus SA,ACA,ACACIA MINING PLC,30,30
8383,Acacia Pharma Group PLC,Acacia Pharma,ACPH,ACACIA PHARMA GROUP PLC,100,72
3885,Acacia Research Corporation,Acacia Research,ACTG,ACACIA RESEARCH CORP,85,86
8580,Actibond Growth Fund PCL,Actibond Growth,ACTG,ACACIA RESEARCH CORP,14,34
1252,Asanko Gold Inc,Asanko Gold,AKG,ACADEMIES AUSTRALASIA GROUP,29,32
17477,Academies Australasia Group,Academies Australasia Group,AKG,ACADEMIES AUSTRALASIA GROUP,100,100
3878,Acadia Healthcare Company Inc,Acadia Healthcare,ACHC,ACADIA HEALTHCARE CO INC,91,83
3875,ACADIA Pharmaceuticals Inc,ACADIA,ACAD,ACADIA PHARMACEUTICALS INC,100,38
5398,Acadia Realty Trust,Acadia,AKR,ACADIA REALTY TRUST,100,48
35093,Ekarat Engineering PCL,Ekarat Engineering,AKR,ACADIA REALTY TRUST,15,22
1496,Acadian Timber Corp,Acadian Timber Corp,ADN,ACADIAN TIMBER CORP,100,100
17452,Andromeda Metals Ltd,Andromeda Metals,ADN,ACADIAN TIMBER CORP,26,23
11233,Aeffe,Aeffe,AEF,ACASTA ENTERPRISES INC-B,21,21
17457,Australian Ethical Investment Ltd,Australian Ethical Invest,AEF,ACASTA ENTERPRISES INC-B,32,24
1471,Acasti Pharma Inc,Acasti Pharma,ACST,ACASTI PHARMA INC,100,87
24593,Acset Indonusa Tbk,Acset Indonusa,ACST,ACASTI PHARMA INC,46,52
6569,Acceleron P,Acceleron P,XLRN,ACCELERON PHARMA INC,71,71
5241,Anixter International Inc,Anixter,AXE,ACCELEWARE LTD,21,29
17524,Archer Exploration Ltd,Archer Exploration Ltd,AXE,ACCELEWARE LTD,39,39
17212,RCG Corporation Ltd,RCG,AX1,ACCENT GROUP LTD,34,21
3419,Accenture plc,Accenture,ACN,ACCENTURE PLC,100,82
28253,Access Co Ltd,Access,4813,ACCESS CO LTD,100,63
26885,Access Group Holdings Co Ltd,Access Group,7042,ACCESS GROUP HOLDINGS CO LTD,100,60
31363,Accrelist Ltd,Accrelist,ACCR,ACCESS-POWER & CO INC,38,36
11156,ACEA,ACEA,ACE,ACCIDENT EXCHANGE GROUP PLC,26,26
30598,Acesite Hotel Corp,Acesite Hotel,ACE,ACCIDENT EXCHANGE GROUP PLC,44,40
36267,An Giang Centrifugal Concrete JSC,An Giang Centrifugal Concrete JSC,ACE,ACCIDENT EXCHANGE GROUP PLC,40,40
13514,Acciona,Acciona,ANA,ACCIONA SA,82,82
5498,Acco Brands Corporation,Acco Brands,ACCO,ACCO BRANDS CORP,82,81
31424,Accordia Golf Trust,Accordia Golf Trust,ACCO,ACCO BRANDS CORP,40,40
2837,Accor SA,Accor,ACCN,ACCOR SA,100,77
1497,Accord Financial Corp.,Accord Financial Corp.,ACD,ACCORD FINANCIAL CORP,100,100
28291,Accrete Inc,Accrete,4395,ACCRETE INC,100,78
6280,AXIS Capital Holdings Ltd,Axis Capital,AXS,ACCSYS TECHNOLOGIES PLC,46,29
3944,Accuray Incorporated,Accuray,ARAY,ACCURAY INC,71,78
17450,Actinogen Medical Ltd,Actinogen Medical,ACW,ACCURIDE CORP,18,20
3884,AcelRx Pharmaceuticals Inc,AcelRx,ACRX,ACELRX PHARMACEUTICALS INC,100,38
1497,Accord Financial Corp.,Accord Financial Corp.,ACD,ACENCIA DEBT STRATEGIES LTD,29,29
4730,Acer Therapeutics Inc,Acer Therapeutics,ACER,ACER THERAPEUTICS INC,100,89
26164,Achilles Corp,Achilles Corp,5142,ACHILLES CORP,100,100
17451,Adacel Tech Ltd,Adacel Tech Ltd,ADA,ACHILLION PHARMACEUTICALS,30,30
39677,Anchor Group Ltd,Anchor Group,ACGJ,ACI GLOBAL CORP,45,52
3880,ACI Worldwide Inc,ACI Worldwide,ACIW,ACI WORLDWIDE INC,100,87
8236,Ackermans & Van Haaren NV,Ackermans,ACKB,ACKERMANS & VAN HAAREN,93,62
6632,Aclaris Therapeutics Inc,Aclaris Therapeutics Inc,ACRS,ACLARIS THERAPEUTICS INC,100,100
6809,Acm Research Inc,Acm Research,ACMR,ACM RESEARCH INC-CLASS A,80,67
18170,ACME Laboratories Ltd,ACME Laboratories,ACMR,ACM RESEARCH INC-CLASS A,36,44
4934,Acme United Corp,Acme United,ACU,ACME UNITED CORP,100,81
26616,Acmos Inc,Acmos,6888,ACMOS INC,100,71
3882,ACNB Corporation,ACNB,ACNB,ACNB CORP,72,62
25616,Acom Co Ltd,Acom Co Ltd,8572,ACOM CO LTD,100,100
13510,Acerinox,Acerinox,ACX,ACONEX LTD,44,44
3883,Acorda Therapeutics Inc,Acorda,ACOR,ACORDA THERAPEUTICS INC,100,41
1513,Autocanada Inc,Autocanada Inc,ACQ,ACORN CAPITAL INVESTMENT FUN,38,38
17449,Acorn Capital Invest Fund,Acorn Capital Invest Fund,ACQ,ACORN CAPITAL INVESTMENT FUN,91,91
3877,Acorn Energy Inc,Acorn,ACFN,ACORN ENERGY INC,100,48
1470,Altus Group Limited,Altus Group,AIF,ACORN INCOME FUND LTD-ORD,32,28
1796,Alto Ventures Ltd.,Alto Ventures,ATV,ACORN INTERNATIONAL INC-ADR,36,30
5290,Acorn International Inc,Acorn,ATV,ACORN INTERNATIONAL INC-ADR,92,31
11232,Acotel Group,Acotel,ACO,ACOTEL GROUP SPA,86,55
22217,Tech Pro Technology Development Ltd,Tech Pro Tech Develop,3823,ACRODEA INC,22,31
28874,Acrodea Inc,Acrodea,3823,ACRODEA INC,100,78
12078,Action SA,Action SA,ACT,ACTELION LTD-REG,56,56
49199,AdvisorShares Vice ETF,AdvisorShares Vice ETF,ACT,ACTELION LTD-REG,26,26
14572,Actic Group AB,Actic Group,ATIC,ACTIC GROUP AB,100,88
25008,Anabatic Technologies Tbk PT,Anabatic Technologies Tbk,ATIC,ACTIC GROUP AB,38,41
30955,Asiatic Group Holdings Ltd,Asiatic Group Holdings Ltd,ATIC,ACTIC GROUP AB,55,55
5081,Actinium Pharmaceuticals Inc,Actinium Pharmaceuticals,ATNM,ACTINIUM PHARMACEUTICALS INC,100,92
17450,Actinogen Medical Ltd,Actinogen Medical,ACW,ACTINOGEN MEDICAL LTD,100,89
11156,ACEA,ACEA,ACE,ACTION CONSTRUCTION EQUIPMEN,19,19
30598,Acesite Hotel Corp,Acesite Hotel,ACE,ACTION CONSTRUCTION EQUIPMEN,35,29
36267,An Giang Centrifugal Concrete JSC,An Giang Centrifugal Concrete JSC,ACE,ACTION CONSTRUCTION EQUIPMEN,33,33
28055,Activia Properties Inc,Activia Properties,3279,ACTIVIA PROPERTIES INC,100,90
2745,Activision Blizzard Inc,Activision Blizzard,ATVI,ACTIVISION BLIZZARD INC,100,90
12078,Action SA,Action SA,ACT,ACTUAL EXPERIENCE PLC,27,27
49199,AdvisorShares Vice ETF,AdvisorShares Vice ETF,ACT,ACTUAL EXPERIENCE PLC,33,33
5460,Acuity Brands Inc,Acuity Brands,AYI,ACUITY BRANDS INC,100,87
5399,Atlantic Power Corporation,Atlantic Power,AT,ACUITYADS HOLDING INC,21,23
30566,Atlas Consolidated Mining and Development Corp,Atlas Consolidated Mining,AT,ACUITYADS HOLDING INC,33,48
3886,Acura Pharmaceuticals Inc,Acura Pharma,ACUR,ACURA PHARMACEUTICALS INC,100,65
37601,Golf,Golf,GOLF,ACUSHNET HOLDINGS CORP,15,15
17451,Adacel Tech Ltd,Adacel Tech Ltd,ADA,ADACEL TECHNOLOGIES LIMITED,71,71
17905,Adairs Ltd,Adairs Ltd,ADH,ADAIRS LTD,100,100
39159,Douja Prom Addoha,Douja Prom Addoha,ADH,ADAIRS LTD,30,30
19499,Hubei Sanonda Co Ltd,Hubei Sanonda A,000553,ADAMA LTD-A,32,38
33958,Adam Investments Ltd,Adam Investments,ADAM,ADAMAS FINANCE ASIA LTD,56,46
6595,Adamas Pharma,Adamas Pharmaceuticals Inc,ADMS,ADAMAS PHARMACEUTICALS INC,67,100
13565,Adolfo Dominguez SA,Adolfo Dominguez,ADZ,ADAMERA MINERALS CORP,45,43
1960,People Corporation,People Corporation,PEO,ADAMS NATURAL RESOURCES FUND,17,17
12046,Bank Polska Kasa Opieki SA,Bank Polska Kasa Opieki,PEO,ADAMS NATURAL RESOURCES FUND,26,24
17451,Adacel Tech Ltd,Adacel Tech Ltd,ADA,ADAMS PLC,50,50
6621,Adaptimmune Therapeutics Plc,Adaptimmune Therapeutics,ADAP,ADAPTIMMUNE THERAPEUTICS-ADR,89,92
25834,Adastria Holdings Co Ltd,Adastria Holdings,2685,ADASTRIA CO LTD,77,75
1850,Diagnos Inc,Diagnos,ADK,ADCARE HEALTH SYSTEMS INC,28,19
13602,Amper,Amper,APE,ADDEX THERAPEUTICS LTD,22,22
16910,AP Eagers Ltd,AP Eagers,APE,ADDEX THERAPEUTICS LTD,34,32
8231,Addiko Bank AG,Addiko Bank,ADKO,ADDIKO BANK AG,100,88
19423,Chinascholars Group Co Ltd,Chinascholars A,000547,ADDSINO CO LTD -A,48,39
