Code-EOD,Country-EOD,Currency-EOD,Exchange-EOD,ISIN,Name-EOD,Type-EOD,previousClose-EOD,previousCloseDate-EOD,country-Inv,name-Inv,full_name-Inv,currency-Inv,symbol-Inv,asset_class-Inv,Name_197,industry-IB,longName-IB,marketName-IB,Symbol-IB,Country-IB,Exchange-IB,Currency-IB
TWOU,USA,USD,US,US90214J1016,2U Inc,Common Stock,9.2,2022-08-02,united states,2U Inc,2U Inc,USD,TWOU,equity,2U INC,"Consumer, Non-cyclical",2U INC,NMS,TWOU,,,
88E,UK,GBX,LSE,AU00000088E2,88 Energy Ltd,Common Stock,0.625,2022-08-03,united kingdom,88 Energy,88 Energy Ltd,GBP,88E,equity,88 ENERGY LTD,Energy,88 ENERGY LTD,88E,88E,United Kingdom,LSE,GBP
7063,Japan,JPY,TSE,JP3160590000,A Dot Co Ltd,Common Stock,2064.0,2022-08-03,japan,A Dot,A Dot Co Ltd,JPY,7063,equity,A DOT CO LTD,,,,,,,
2018,Hong Kong,HKD,HK,KYG2953R1149,AAC Technologies Holdings Inc,Common Stock,14.58,2022-08-03,hong kong,AAC Technologies,AAC Technologies Holdings Inc,HKD,2018,equity,AAC TECHNOLOGIES HOLDINGS IN,Industrial,AAC TECHNOLOGIES HOLDINGS IN,2018,2018,,,
2686,Hong Kong,HKD,HK,KYG000371040,AAG Energy Holdings Ltd,Common Stock,1.4100000000000001,2022-08-03,hong kong,AAG Energy Holdings Ltd,AAG Energy Holdings Ltd,HKD,2686,equity,AAG ENERGY HOLDINGS LTD,Energy,AAG ENERGY HOLDINGS LTD,2686,2686,Hong Kong,SEHK,HKD
AAON,USA,USD,US,US0003602069,AAON Inc,Common Stock,59.7,2022-08-02,united states,AAON,AAON Inc,USD,AAON,equity,AAON INC,Industrial,AAON INC,NMS,AAON,,,
ABP,Australia,AUD,AU,AU000000ABP9,Abacus Property Group,Common Stock,2.85,2022-08-03,australia,Abacus Property,Abacus Property Group,AUD,ABP,equity,ABACUS PROPERTY GROUP,Financial,ABACUS PROPERTY GROUP,ABP,ABP,Australia,ASX,AUD
ABB,India,INR,NSE,INE117A01022,ABB India Limited,Common Stock,2671.6,2022-08-03,india,ABB India,ABB India Ltd,INR,ABB,equity,ABB INDIA LTD,Industrial,ABB INDIA LTD,ABB,ABB,India,NSE,INR
ABT,USA,USD,US,US0028241000,Abbott Laboratories,Common Stock,108.64,2022-08-02,mexico,Abbott Labs,Abbott Laboratories,MXN,ABT,equity,ABBOTT LABORATORIES,"Consumer, Non-cyclical",ABBOTT LABORATORIES .,ABT,ABT,,,
ABBV,USA,USD,US,US00287Y1091,AbbVie Inc,Common Stock,140.39,2022-08-02,mexico,AbbVie,AbbVie Inc,MXN,ABBV,equity,ABBVIE INC,"Consumer, Non-cyclical",ABBVIE INC,ABBV,ABBV,Mexico,NYSE,USD
2670,Japan,JPY,TSE,JP3152740001,ABC-Mart Inc,Common Stock,5680.0,2022-08-03,japan,ABC-Mart Inc,ABC-Mart Inc,JPY,2670,equity,ABC-MART INC,"Consumer, Cyclical",ABC-MART INC,2670,2670,Japan,TSEJ,JPY
AAIF,UK,GBX,LSE,GB00B0P6J834,abrdn Asian Income Fund Limited,Common Stock,213.0,2022-08-03,united kingdom,Aberdeen Asian Income,Aberdeen Asian Income Fund,GBP,AAIF,equity,ABERDEEN ASIAN INCOME FUND L,,ABRDN ASIAN INCOME FUND L,SSMM,AAIF,United Kingdom,LSE,GBP
FCO,USA,USD,US,US0030131090,Aberdeen Global IF Inc,Common Stock,5.15,2022-08-02,united states,Aberdeen Global,Aberdeen Global Income Fund Inc,USD,FCO,equity,ABERDEEN GLOBAL INCOME FUND,,,,,,,
ABILF,USA,USD,US,KYG8789K1242,Ability Inc,Common Stock,0.2,2022-08-02,united states,Ability,Ability Inc,USD,ABIL,equity,ABILITY INC,Industrial,ABILITY INC,ABIL,ABIL,Israel,TASE,ILS
ABMD,USA,USD,US,US0036541003,ABIOMED Inc,Common Stock,293.63,2022-08-02,mexico,ABIOMED,Abiomed Inc,MXN,ABMD,equity,ABIOMED INC,"Consumer, Non-cyclical",ABIOMED INC,NMS,ABMD,,,
ABSO,Sweden,SEK,ST,SE0006256558,Absolent Group AB,Common Stock,402.0,2022-08-03,sweden,Absolent Group AB,Absolent Group AB,SEK,ABSO,equity,ABSOLENT GROUP AB,,,,,,,
AKG,Australia,AUD,AU,AU000000AKG9,Academies Australasia Group,Common Stock,0.33,2022-08-03,australia,Academies Australasia Group,Academies Australasia Group,AUD,AKG,equity,ACADEMIES AUSTRALASIA GROUP,"Consumer, Non-cyclical",ACADEMIES AUSTRALASIA GROUP,AKG,AKG,Australia,ASX,AUD
ACHC,USA,USD,US,US00404A1097,Acadia Healthcare Company Inc,Common Stock,81.13,2022-08-02,united states,Acadia Healthcare,Acadia Healthcare Company Inc,USD,ACHC,equity,ACADIA HEALTHCARE CO INC,"Consumer, Non-cyclical",ACADIA HEALTHCARE CO INC,NMS,ACHC,,,
